query,车辆候选列表,query.1,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
打个拼车去机场，价格不超过50元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|6|滴滴|拼车|滴滴小巴|32.36-33.55|
|7|滴滴|特价|花小猪外接版|34.94|
|8|滴滴|特价|惊喜特价|36.14|
|9|滴滴|快速|曹操出行|56.23|
|10|滴滴|快速|出租车|56.38|
|11|滴滴|快速|滴滴轻享|57.09|
|12|滴滴|快速|滴滴特快|57.47|
|13|滴滴|快速|滴滴优享|57.67|
|14|滴滴|快速|滴滴快车|57.67|
|15|滴滴|快速|宽敞好车|57.83|
|16|滴滴|快速|方舟行|58.76|
|17|滴滴|快速|长沙新出租|59.67|
|18|滴滴|快速|武汉新出租|59.97|
|19|滴滴|舒适|滴滴专车|73.73|
|20|滴滴|六座|六座专车|118.90|
|21|滴滴|六座|六座豪华车|121.70|
|22|滴滴|六座|六座快车|122.23|",打个拼车去展览馆，价格不超过60元。,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,拼车,,无,,True,0,60,,,王笑,,,,,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",,打个拼车去展览馆，价格不超过60元。,拼车,无,
滴滴叫个拼车去地铁站，价格在25到55元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|32.74|
|1|滴滴|推荐|特惠快车|35.70|
|2|滴滴|推荐|滴滴快车|37.15|
|3|滴滴|推荐|特快出租车|37.60|
|4|滴滴|推荐|滴滴特快|37.90|
|5|滴滴|拼车|特价拼车|35.96-37.79|
|6|滴滴|拼车|极速拼车|33.08-34.73|
|7|滴滴|拼车|滴滴小巴|33.19-34.90|
|8|滴滴|特价|花小猪外接版|42.87|
|9|滴滴|特价|惊喜特价|46.98|
|10|滴滴|快速|曹操出行|61.62|
|11|滴滴|快速|出租车|62.17|
|12|滴滴|快速|滴滴轻享|64.58|
|13|滴滴|快速|滴滴特快|65.06|
|14|滴滴|快速|滴滴优享|65.87|
|15|滴滴|快速|滴滴快车|66.03|
|16|滴滴|快速|宽敞好车|66.20|
|17|滴滴|舒适|滴滴专车|87.29|
|18|滴滴|六座|六座专车|109.34|
|19|滴滴|六座|六座豪华车|112.19|",滴滴叫个拼车去地铁站，价格在25到55元之间。,"[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 25, ""price_max"": 55, ""fast"": False}]",滴滴,,拼车,,无,,True,25,55,,,王笑,,,,,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",,滴滴叫个拼车去地铁站，价格在25到55元之间。,拼车,无,
