model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,去社区医院预约特快出租车用滴滴,"|序号id|应用名称|车型大类|车辆类型|价格|
Qwen2.5-32B-Instruct,到艺术馆门口订辆特快出租车走小路,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|7.50|
|1|滴滴|推荐|特惠快车|8.00|
|2|滴滴|推荐|滴滴快车|9.59|
|3|滴滴|推荐|特快出租车|9.60|
|4|滴滴|拼车|特价拼车|6.25-7.74|
|5|滴滴|拼车|极速拼车|9.83-11.39|
|6|滴滴|特价|花小猪外接版|13.64|
|7|滴滴|特价|惊喜特价|14.43|
|8|滴滴|快速|曹操出行|16.79|
|9|滴滴|快速|出租车|17.03|
|10|滴滴|快速|滴滴轻享|17.35|
|11|滴滴|快速|滴滴特快|19.02|
|12|滴滴|快速|滴滴优享|21.83|
|13|滴滴|快速|滴滴快车|22.25|
|14|滴滴|快速|宽敞好车|22.70|
|15|滴滴|舒适|滴滴专车|28.75|
|16|滴滴|舒适|滴滴豪华车|31.62|
|17|滴滴|六座|六座专车|48.67|
|18|滴滴|六座|六座豪华车|52.30|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特快出租车,无,无,无,特快出租车，出租车,特快出租车，出租车,False,,False,0,,0,0,,0,1.085728168,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,特快出租车，出租车,,到艺术馆门口订辆特快出租车走小路
Qwen2.5-32B-Instruct,我要去滨江公园，叫辆特快出租车，不超过10元,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|24.98|
|1|滴滴|推荐|特惠快车|27.04|
|2|滴滴|推荐|滴滴快车|27.67|
|3|滴滴|推荐|特快出租车|27.68|
|4|滴滴|推荐|滴滴特快|30.11|
|5|滴滴|拼车|特价拼车|24.39-25.79|
|6|滴滴|拼车|极速拼车|22.36-24.26|
|7|滴滴|特价|花小猪外接版|30.25|
|8|滴滴|特价|惊喜特价|34.53|
|9|滴滴|快速|曹操出行|48.60|
|10|滴滴|快速|出租车|48.65|
|11|滴滴|快速|滴滴轻享|49.54|
|12|滴滴|快速|滴滴特快|49.86|
|13|滴滴|快速|滴滴优享|50.95|
|14|滴滴|快速|滴滴快车|51.18|
|15|滴滴|快速|宽敞好车|52.27|
|16|滴滴|快速|方舟行|52.71|
|17|滴滴|快速|长沙新出租|54.01|
|18|滴滴|舒适|滴滴专车|68.16|
|19|滴滴|舒适|滴滴豪华车|68.71|
|20|滴滴|六座|六座专车|103.02|
|21|滴滴|六座|六座豪华车|103.49|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 10, ""fast"": False}]",无,,无,特快出租车,无,无,无,特快出租车，出租车，长沙新出租,特快出租车，出租车，长沙新出租,True,,True,0,,0,10,,10,1.130232811,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,特快出租车，出租车，长沙新出租,,我要去滨江公园，叫辆特快出租车，不超过10元
Qwen2.5-32B-Instruct,雨天从上海静安寺到陆家嘴必须匹配舒适型车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|25.11|
|1|滴滴|推荐|特惠快车|25.57|
|2|滴滴|推荐|滴滴快车|29.95|
|3|滴滴|拼车|特价拼车|27.10-28.54|
|4|滴滴|拼车|极速拼车|31.64-33.56|
|5|滴滴|特价|花小猪外接版|32.97|
|6|滴滴|特价|惊喜特价|34.70|
|7|滴滴|快速|曹操出行|46.10|
|8|滴滴|快速|出租车|47.76|
|9|滴滴|快速|滴滴轻享|48.38|
|10|滴滴|快速|滴滴特快|48.72|
|11|滴滴|快速|滴滴优享|49.47|
|12|滴滴|快速|滴滴快车|49.72|
|13|滴滴|快速|宽敞好车|50.06|
|14|滴滴|快速|方舟行|50.54|
|15|滴滴|快速|长沙新出租|50.64|
|16|滴滴|快速|武汉新出租|51.43|
|17|滴滴|舒适出发|滴滴专车|67.08|
|18|滴滴|舒适出发|滴滴豪华车|70.35|
|19|滴滴|六座|六座专车|103.28|
|20|滴滴|六座|六座豪华车|107.14|",,,"[{""app"": ""无"", ""category"": ""舒适型"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.062490702,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,雨天从上海静安寺到陆家嘴必须匹配舒适型车型
Qwen2.5-32B-Instruct,故宫博物院游览，叫个舒适型的车服务,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|19.02|
|1|滴滴|推荐|特惠快车|19.30|
|2|滴滴|推荐|滴滴快车|19.66|
|3|滴滴|推荐|特快出租车|21.05|
|4|滴滴|拼车|特价拼车|12.78-14.54|
|5|滴滴|拼车|极速拼车|14.52-15.65|
|6|滴滴|特价|花小猪外接版|18.04|
|7|滴滴|特价|惊喜特价|18.95|
|8|滴滴|快速|曹操出行|25.32|
|9|滴滴|快速|出租车|25.58|
|10|滴滴|快速|滴滴轻享|26.57|
|11|滴滴|快速|滴滴特快|27.10|
|12|滴滴|快速|滴滴优享|27.37|
|13|滴滴|快速|滴滴快车|28.23|
|14|滴滴|快速|宽敞好车|28.37|
|15|滴滴|快速|方舟行|28.62|
|16|滴滴|快速|长沙新出租|29.72|
|17|滴滴|快速|武汉新出租|29.76|
|18|滴滴|快速|丽江新出租|30.87|
|19|滴滴|舒适出发|滴滴专车|43.66|
|20|滴滴|舒适出发|滴滴豪华车|44.48|
|21|滴滴|六座|六座专车|55.18|
|22|滴滴|六座|六座豪华车|57.91|",,,"[{""app"": ""无"", ""category"": ""舒适型的车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型的车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.045306206,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '丽江新出租'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,故宫博物院游览，叫个舒适型的车服务
Qwen2.5-32B-Instruct,西湖雷峰塔景区至龙井茶园指定舒适型车接送,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.22|
|1|滴滴|推荐|特惠快车|15.78|
|2|滴滴|推荐|滴滴快车|16.04|
|3|滴滴|推荐|特快出租车|16.11|
|4|滴滴|拼车|特价拼车|8.12-9.51|
|5|滴滴|拼车|极速拼车|15.30-17.06|
|6|滴滴|特价|花小猪外接版|12.06|
|7|滴滴|特价|惊喜特价|14.63|
|8|滴滴|特价|特惠快车|15.39|
|9|滴滴|快速|曹操出行|21.82|
|10|滴滴|快速|出租车|23.18|
|11|滴滴|快速|滴滴轻享|23.97|
|12|滴滴|快速|滴滴特快|24.01|
|13|滴滴|快速|滴滴优享|24.11|
|14|滴滴|快速|滴滴快车|25.13|
|15|滴滴|快速|宽敞好车|25.28|
|16|滴滴|快速|方舟行|26.34|
|17|滴滴|快速|长沙新出租|26.41|
|18|滴滴|快速|武汉新出租|26.74|
|19|滴滴|舒适出发|滴滴专车|33.53|
|20|滴滴|舒适出发|滴滴豪华车|36.33|
|21|滴滴|六座|六座专车|49.63|
|22|滴滴|六座|六座豪华车|53.67|",,,"[{""app"": ""无"", ""category"": ""舒适型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.099810123,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,西湖雷峰塔景区至龙井茶园指定舒适型车接送
Qwen2.5-32B-Instruct,去珠海长隆海洋王国，优先派发舒适型车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|11.15|
|1|滴滴|推荐|特惠快车|12.74|
|2|滴滴|推荐|滴滴快车|14.44|
|3|滴滴|推荐|特快出租车|14.86|
|4|滴滴|推荐|滴滴特快|15.25|
|5|滴滴|拼车|特价拼车|13.77-15.34|
|6|滴滴|拼车|极速拼车|16.03-17.62|
|7|滴滴|拼车|滴滴小巴|14.77-16.36|
|8|滴滴|特价|花小猪外接版|17.28|
|9|滴滴|特价|惊喜特价|18.95|
|10|滴滴|快速|曹操出行|23.54|
|11|滴滴|快速|出租车|25.16|
|12|滴滴|快速|滴滴轻享|25.21|
|13|滴滴|快速|滴滴特快|26.44|
|14|滴滴|快速|滴滴优享|27.13|
|15|滴滴|快速|滴滴快车|27.22|
|16|滴滴|舒适出发|滴滴专车|29.91|
|17|滴滴|六座|六座专车|39.98|
|18|滴滴|六座|六座豪华车|42.43|",,,"[{""app"": ""无"", ""category"": ""舒适型车型"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型车型,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.080894709,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}]",舒适出发,无,,去珠海长隆海洋王国，优先派发舒适型车型
Qwen2.5-32B-Instruct,洛阳龙门石窟跨城包车需舒适型车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|27.44|
|1|滴滴|推荐|特惠快车|28.79|
|2|滴滴|推荐|滴滴快车|29.41|
|3|滴滴|推荐|特快出租车|30.95|
|4|滴滴|推荐|滴滴特快|31.17|
|5|滴滴|拼车|特价拼车|27.57-28.78|
|6|滴滴|拼车|极速拼车|31.18-32.93|
|7|滴滴|特价|花小猪外接版|36.64|
|8|滴滴|特价|惊喜特价|38.16|
|9|滴滴|快速|曹操出行|56.80|
|10|滴滴|快速|出租车|57.25|
|11|滴滴|快速|滴滴轻享|57.96|
|12|滴滴|快速|滴滴特快|59.00|
|13|滴滴|快速|滴滴优享|59.28|
|14|滴滴|快速|滴滴快车|59.99|
|15|滴滴|快速|宽敞好车|61.56|
|16|滴滴|快速|方舟行|61.63|
|17|滴滴|快速|长沙新出租|61.75|
|18|滴滴|快速|武汉新出租|61.90|
|19|滴滴|快速|丽江新出租|62.26|
|20|滴滴|舒适出发|滴滴专车|84.88|
|21|滴滴|舒适出发|滴滴豪华车|86.80|
|22|滴滴|六座|六座专车|134.64|
|23|滴滴|六座|六座豪华车|135.14|
|24|滴滴|六座|六座快车|135.96|",,,"[{""app"": ""无"", ""category"": ""舒适型"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.082421064,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '丽江新出租'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,洛阳龙门石窟跨城包车需舒适型车型
Qwen2.5-32B-Instruct,到哈尔滨冰雪大世界，打一辆舒适型车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|4.69|
|1|滴滴|推荐|特惠快车|6.33|
|2|滴滴|推荐|滴滴快车|7.11|
|3|滴滴|推荐|特快出租车|7.21|
|4|滴滴|拼车|特价拼车|2.32-3.53|
|5|滴滴|拼车|极速拼车|2.16-3.33|
|6|滴滴|特价|花小猪外接版|3.98|
|7|滴滴|特价|惊喜特价|4.32|
|8|滴滴|快速|曹操出行|9.61|
|9|滴滴|快速|出租车|10.69|
|10|滴滴|快速|滴滴轻享|10.82|
|11|滴滴|快速|滴滴特快|11.30|
|12|滴滴|快速|滴滴优享|11.62|
|13|滴滴|快速|滴滴快车|11.70|
|14|滴滴|快速|宽敞好车|11.92|
|15|滴滴|快速|方舟行|11.96|
|16|滴滴|快速|长沙新出租|12.17|
|17|滴滴|舒适出发|滴滴专车|13.84|
|18|滴滴|六座|六座专车|19.78|
|19|滴滴|六座|六座豪华车|21.04|",,,"[{""app"": ""无"", ""category"": ""舒适型专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型专车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.039825439,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}]",舒适出发,无,,到哈尔滨冰雪大世界，打一辆舒适型车
Qwen2.5-32B-Instruct,到深圳湾公园，要求舒适型车辆,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|22.29|
|1|滴滴|推荐|特惠快车|23.09|
|2|滴滴|推荐|滴滴快车|23.72|
|3|滴滴|推荐|特快出租车|25.50|
|4|滴滴|拼车|特价拼车|26.90-27.96|
|5|滴滴|拼车|极速拼车|33.24-34.66|
|6|滴滴|特价|花小猪外接版|33.87|
|7|滴滴|特价|惊喜特价|36.70|
|8|滴滴|特价|特惠快车|36.76|
|9|滴滴|快速|曹操出行|49.53|
|10|滴滴|快速|出租车|49.57|
|11|滴滴|快速|滴滴轻享|50.58|
|12|滴滴|快速|滴滴特快|50.90|
|13|滴滴|快速|滴滴优享|51.16|
|14|滴滴|快速|滴滴快车|51.31|
|15|滴滴|快速|宽敞好车|52.04|
|16|滴滴|快速|方舟行|53.97|
|17|滴滴|快速|长沙新出租|54.54|
|18|滴滴|快速|武汉新出租|54.83|
|19|滴滴|舒适出发|滴滴专车|67.21|
|20|滴滴|六座|六座专车|107.26|
|21|滴滴|六座|六座豪华车|108.57|",,,"[{""app"": ""无"", ""category"": ""舒适型车辆"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型车辆,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.100661516,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}]",舒适出发,无,,到深圳湾公园，要求舒适型车辆
Qwen2.5-32B-Instruct,张家界天门山，叫辆舒适型车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|35.41|
|1|滴滴|推荐|特惠快车|35.75|
|2|滴滴|推荐|滴滴快车|38.65|
|3|滴滴|推荐|特快出租车|39.08|
|4|滴滴|拼车|特价拼车|37.51-39.03|
|5|滴滴|拼车|极速拼车|35.58-37.18|
|6|滴滴|特价|花小猪外接版|42.21|
|7|滴滴|特价|惊喜特价|42.84|
|8|滴滴|快速|曹操出行|61.31|
|9|滴滴|快速|出租车|63.20|
|10|滴滴|快速|滴滴轻享|63.25|
|11|滴滴|快速|滴滴特快|63.81|
|12|滴滴|快速|滴滴优享|64.85|
|13|滴滴|快速|滴滴快车|65.39|
|14|滴滴|快速|宽敞好车|65.77|
|15|滴滴|快速|方舟行|66.37|
|16|滴滴|快速|长沙新出租|66.52|
|17|滴滴|舒适出发|滴滴专车|92.98|
|18|滴滴|舒适出发|滴滴豪华车|94.75|
|19|滴滴|六座|六座专车|116.14|
|20|滴滴|六座|六座豪华车|116.51|",,,"[{""app"": ""无"", ""category"": ""舒适型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.110168457,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,张家界天门山，叫辆舒适型车
Qwen2.5-32B-Instruct,重庆洪崖洞仅接受舒适型车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|6.92|
|1|滴滴|推荐|特惠快车|7.26|
|2|滴滴|推荐|滴滴快车|8.36|
|3|滴滴|推荐|特快出租车|8.47|
|4|滴滴|推荐|滴滴特快|8.84|
|5|滴滴|拼车|特价拼车|4.32-5.98|
|6|滴滴|拼车|极速拼车|1.00-2.52|
|7|滴滴|特价|花小猪外接版|6.34|
|8|滴滴|特价|惊喜特价|10.55|
|9|滴滴|快速|曹操出行|10.34|
|10|滴滴|快速|出租车|10.50|
|11|滴滴|快速|滴滴轻享|11.18|
|12|滴滴|快速|滴滴特快|12.37|
|13|滴滴|快速|滴滴优享|13.33|
|14|滴滴|快速|滴滴快车|14.42|
|15|滴滴|快速|宽敞好车|14.73|
|16|滴滴|快速|方舟行|14.99|
|17|滴滴|舒适出发|滴滴专车|13.29|
|18|滴滴|舒适出发|滴滴豪华车|15.67|
|19|滴滴|六座|六座专车|28.55|
|20|滴滴|六座|六座豪华车|31.84|",,,"[{""app"": ""无"", ""category"": ""可以接受舒适型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,可以接受舒适型车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.125813246,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}, {'舒适出发': '滴滴豪华车'}]",舒适出发,无,,重庆洪崖洞仅接受舒适型车
Qwen2.5-32B-Instruct,我要去紫峰大厦，帮我打个舒适型的车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.66|
|1|滴滴|推荐|特惠快车|14.82|
|2|滴滴|推荐|滴滴快车|15.05|
|3|滴滴|推荐|特快出租车|17.48|
|4|滴滴|推荐|滴滴特快|18.43|
|5|滴滴|拼车|特价拼车|10.75-12.58|
|6|滴滴|拼车|极速拼车|15.82-17.25|
|7|滴滴|特价|花小猪外接版|19.44|
|8|滴滴|快速|曹操出行|21.61|
|9|滴滴|快速|出租车|22.83|
|10|滴滴|快速|滴滴轻享|22.98|
|11|滴滴|快速|滴滴特快|23.04|
|12|滴滴|快速|滴滴优享|24.38|
|13|滴滴|快速|滴滴快车|24.40|
|14|滴滴|快速|宽敞好车|24.50|
|15|滴滴|快速|方舟行|24.57|
|16|滴滴|快速|长沙新出租|25.10|
|17|滴滴|快速|武汉新出租|25.73|
|18|滴滴|舒适出发|滴滴专车|37.96|
|19|滴滴|六座|六座专车|54.70|
|20|滴滴|六座|六座豪华车|54.79|",,,"[{""app"": ""无"", ""category"": ""舒适型的车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适型的车,舒适出发,舒适出发,无,,无,False,,False,0,,0,0,,0,1.067799568,直接命中车大类关键字但answer中没有或错误,,陆迎,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '花小猪外接版'}, {'舒适出发': '滴滴专车'}]",舒适出发,无,,我要去紫峰大厦，帮我打个舒适型的车。
Qwen2.5-32B-Instruct,杭州未来科技城面试行程，要求舒适型的车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|9.41|
|1|滴滴|推荐|特惠快车|9.80|
|2|滴滴|推荐|滴滴快车|13.05|
|3|滴滴|推荐|特快出租车|13.23|
|4|滴滴|拼车|特价拼车|10.18-11.49|
|5|滴滴|拼车|极速拼车|8.30-10.04|
|6|滴滴|特价|花小猪外接版|11.76|
|7|滴滴|特价|惊喜特价|12.08|
|8|滴滴|特价|特惠快车|14.66|
|9|滴滴|快速|曹操出行|16.92|
|10|滴滴|快速|出租车|17.09|
|11|滴滴|快速|滴滴轻享|17.48|
|12|滴滴|快速|滴滴特快|18.07|
|13|滴滴|快速|滴滴优享|18.31|
|14|滴滴|快速|滴滴快车|18.81|
|15|滴滴|快速|宽敞好车|20.84|
|16|滴滴|快速|方舟行|21.16|
|17|滴滴|快速|长沙新出租|22.48|
|18|滴滴|舒适出发|滴滴专车|31.23|
|19|滴滴|舒适出发|滴滴豪华车|31.85|
|20|滴滴|六座|六座专车|34.27|
