车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
,,美院师生合肥巢湖到黄山写生，使用惊喜特价车型,滴滴车列表,sessionId20250624lhx1098,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n美院师生合肥巢湖到黄山写生，使用惊喜特价车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""美院师生合肥巢湖到黄山写生，使用惊喜特价车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '29']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,0.33,
,,昆明石林到大理项目对接，拼一辆城际拼车，凑齐人就发车,滴滴车列表,sessionId20250624lhx1099,"{'appName': '', 'carModelRelated': True, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n昆明石林到大理项目对接，拼一辆城际拼车，凑齐人就发车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""昆明石林到大理项目对接，拼一辆城际拼车，凑齐人就发车\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""城际拼车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
,,南宁阳朔到桂林两江机场，叫一辆特惠快车，刚好衔接早班机,滴滴车列表,sessionId20250624lhx1100,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南宁阳朔到桂林两江机场，叫一辆特惠快车，刚好衔接早班机\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南宁阳朔到桂林两江机场，叫一辆特惠快车，刚好衔接早班机\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '7']","['2','7']",1,1,1,1,1,1,1,1,
,,福州火车站附近有批样品要送，去三坊七巷考察，记得选拼车类目,高德车列表,sessionId20250624lhx1101,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n福州火车站附近有批样品要送，去三坊七巷考察，记得选拼车类目\n\n"",""exts"":""{\""userHistoryInputContent\"":\""福州火车站附近有批样品要送，去三坊七巷考察，记得选拼车类目\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '45', '47']","['1','45','47']",1,1,1,1,1,1,1,1,
,,政务区有重要会议，合肥南站出发，打一辆六座商务车型，正好装下团队,高德车列表,sessionId20250624lhx1102,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n政务区有重要会议，合肥南站出发，打一辆六座商务车型，正好装下团队\n\n"",""exts"":""{\""userHistoryInputContent\"":\""政务区有重要会议，合肥南站出发，打一辆六座商务车型，正好装下团队\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座商务车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""商务车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['42', '83', '84', '86', '87', '88', '114']","['42','83','84','86','87','88','114']",1,1,1,1,1,1,1,1,
,,滇池国际会展中心的展会物料急需运送，从长水机场打的，打一辆高德秒送,高德车列表,sessionId20250624lhx1103,"{'appName': '高德地图', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n滇池国际会展中心的展会物料急需运送，从长水机场打的，打一辆高德秒送\n\n"",""exts"":""{\""userHistoryInputContent\"":\""滇池国际会展中心的展会物料急需运送，从长水机场打的，打一辆高德秒送\""}""}]","```json
[{""app"": ""高德地图"", ""category"": ""无"", ""mode"": ""高德秒送"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""高德地图"", ""category"": ""无"", ""mode"": ""高德秒送"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['43'],['43'],1,1,1,1,1,1,1,1,
,,青秀山风景区明天团建，南宁东站出发，打一辆经济型分类的车，更符合预算,高德车列表,sessionId20250624lhx1104,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n青秀山风景区明天团建，南宁东站出发，打一辆经济型分类的车，更符合预算\n\n"",""exts"":""{\""userHistoryInputContent\"":\""青秀山风景区明天团建，南宁东站出发，打一辆经济型分类的车，更符合预算\""}""}]","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '22', '23', '24', '74', '111']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",1,1,1,1,1,1,1,0.49,
,,黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型,高德车列表,sessionId20250624lhx1105,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""推荐类车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""推荐"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['46', '47', '71']","['46','47','71']",1,1,1,1,1,1,1,1,
,,首都机场接机急单，北京国贸大厦直接叫特惠快车现在就要出发,高德车列表,sessionId20250624lhx1106,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n首都机场接机急单，北京国贸大厦直接叫特惠快车现在就要出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""首都机场接机急单，北京国贸大厦直接叫特惠快车现在就要出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['2', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '115', '116', '117']","['2','25','89','90','91','92','93','94','95','96','97','98','99','100','101','102','103','104','105','106','107','108','109','110','115','116','117']",1,1,1,1,1,1,1,0.96,
,,听说迪士尼烟花秀加场，陆家嘴环球金融中心，预约曹操出行车型，带孩子去看,高德车列表,sessionId20250624lhx1107,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n听说迪士尼烟花秀加场，陆家嘴环球金融中心，预约曹操出行车型，带孩子去看\n\n"",""exts"":""{\""userHistoryInputContent\"":\""听说迪士尼烟花秀加场，陆家嘴环球金融中心，预约曹操出行车型，带孩子去看\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '27', '48', '92']","['3','27','48','92']",1,1,1,1,1,1,1,1,
,,白云山南门的登山装备要带，体育西路天河城打的选特快车，更省时,高德车列表,sessionId20250624lhx1108,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n白云山南门的登山装备要带，体育西路天河城打的选特快车，更省时\n\n"",""exts"":""{\""userHistoryInputContent\"":\""白云山南门的登山装备要带，体育西路天河城打的选特快车，更省时\""}""}]","```json
[{""app"": ""无"", ""category"": ""特快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['25'],"['2','25','89','90','91','92','93','94','95','96','97','98','99','100','101','102','103','104','105','106','107','108','109','110','115','116','117']",1,1,1,1,1,0,1,0.04,
,,宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车，更安全,高德车列表,sessionId20250624lhx1109,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车，更安全\n\n"",""exts"":""{\""userHistoryInputContent\"":\""宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车，更安全\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['15', '22', '23', '24', '26', '67', '68', '69', '75', '85', '106', '116', '117']","['15','22','23','24','26','66','67','68','69','75','85','106','108','110','116','117']",1,1,1,1,1,1,1,0.81,
,,熊猫基地的专家考察，宽窄巷子景区到繁育基地，下品质专车单,高德车列表,sessionId20250624lhx1110,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n熊猫基地的专家考察，宽窄巷子景区到繁育基地，下品质专车单\n\n"",""exts"":""{\""userHistoryInputContent\"":\""熊猫基地的专家考察，宽窄巷子景区到繁育基地，下品质专车单\""}""}]","```json
[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""品质专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",[],"['41','71','76','77','78','79','80','81','82','113','118']",1,1,1,1,1,1,0,0,
,,阿里巴巴西溪园区的客户临时改行程，西湖断桥那边，叫T3出行应急,高德车列表,sessionId20250624lhx1111,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n阿里巴巴西溪园区的客户临时改行程，西湖断桥那边，叫T3出行应急\n\n"",""exts"":""{\""userHistoryInputContent\"":\""阿里巴巴西溪园区的客户临时改行程，西湖断桥那边，叫T3出行应急\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""T3出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""T3出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['4', '29', '49', '90']","['4','29','49','90']",1,1,1,1,1,1,1,1,
,,南京新街口德基广场到中山陵团建，统一打一辆腾飞新出租车型的车,高德车列表,sessionId20250624lhx1112,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南京新街口德基广场到中山陵团建，统一打一辆腾飞新出租车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南京新街口德基广场到中山陵团建，统一打一辆腾飞新出租车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞新出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞新出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['23', '68', '108']","['23','68','108']",1,1,1,1,1,1,1,1,
,,打车从洪崖洞到磁器口古镇采风拍摄，指定要神州专车接单,高德车列表,sessionId20250624lhx1113,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打车从洪崖洞到磁器口古镇采风拍摄，指定要神州专车接单\n\n"",""exts"":""{\""userHistoryInputContent\"":\""打车从洪崖洞到磁器口古镇采风拍摄，指定要神州专车接单\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""神州专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""神州专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['11', '36', '54', '82', '88', '99']","['11','36','54','82','88','99']",1,1,1,1,1,1,1,1,
,,兵马俑博物馆的学术交流，打车去大雁塔北广场，选经济型分类的车，控制差旅成本,高德车列表,sessionId20250624lhx1114,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': True}","[{""content"":""# 用户需求：\n兵马俑博物馆的学术交流，打车去大雁塔北广场，选经济型分类的车，控制差旅成本\n\n"",""exts"":""{\""userHistoryInputContent\"":\""兵马俑博物馆的学术交流，打车去大雁塔北广场，选经济型分类的车，控制差旅成本\""}""}]","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '72', '74', '111']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",0,1,1,1,0,1,1,1,
,,有个意式风情街的商务宴请，天津滨海机场过来，打车需要阳光出行车型,高德车列表,sessionId20250624lhx1115,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n有个意式风情街的商务宴请，天津滨海机场过来，打车需要阳光出行车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""有个意式风情街的商务宴请，天津滨海机场过来，打车需要阳光出行车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""阳光出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""阳光出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['16', '28', '61', '97']","['16','28','61','97']",1,1,1,1,1,1,1,1,
,,黄鹤楼公园东门接待外宾，从天河机场过来，打优享型分类车,高德车列表,sessionId20250624lhx1116,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n黄鹤楼公园东门接待外宾，从天河机场过来，打优享型分类车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""黄鹤楼公园东门接待外宾，从天河机场过来，打优享型分类车\""}""}]","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '70', '73', '112']","['27','28','29','30','31','32','33','34','35','36','37','38','39','40','70','73','112']",1,1,1,1,1,1,1,1,
,,拙政园景区考察古建，苏州东方之门出发，用“环旅出行”车型，适配文化主题,高德车列表,sessionId20250624lhx1117,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n拙政园景区考察古建，苏州东方之门出发，用“环旅出行”车型，适配文化主题\n\n"",""exts"":""{\""userHistoryInputContent\"":\""拙政园景区考察古建，苏州东方之门出发，用“环旅出行”车型，适配文化主题\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""环旅出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""环旅出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '37', '57', '81', '103']","['10','37','57','81','103']",1,1,1,1,1,1,1,1,
,,河南博物院的文物押运，郑州东站到馆区必须叫鞍马聚的新出租,高德车列表,sessionId20250624lhx1118,"{'appName': '', 'carModelRelated': True, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n河南博物院的文物押运，郑州东站到馆区必须叫鞍马聚的新出租\n\n"",""exts"":""{\""userHistoryInputContent\"":\""河南博物院的文物押运，郑州东站到馆区必须叫鞍马聚的新出租\""}""}]","```json
[{""app"": ""无"", ""category"": ""新出租"", ""mode"": ""鞍马聚"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""新出租"", ""mode"": ""鞍马聚"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['24', '69']","['24','69','75','85']",1,1,1,1,1,1,1,0.5,
,,栈桥景区的海鲜展品运输，胶东国际机场打的，选特价拼车类目,高德车列表,sessionId20250624lhx1119,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n栈桥景区的海鲜展品运输，胶东国际机场打的，选特价拼车类目\n\n"",""exts"":""{\""userHistoryInputContent\"":\""栈桥景区的海鲜展品运输，胶东国际机场打的，选特价拼车类目\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['45', '47']","['1', '45', '47']",1,1,1,1,1,1,1,0.67,
,,前往鼓浪屿三丘田码头送船舶配件，用享道出行，确保准时送达,高德车列表,sessionId20250624lhx1120,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n前往鼓浪屿三丘田码头送船舶配件，用享道出行，确保准时送达\n\n"",""exts"":""{\""userHistoryInputContent\"":\""前往鼓浪屿三丘田码头送船舶配件，用享道出行，确保准时送达\""}""}]","```json
[{""app"": ""享道出行"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""享道出行"", ""category"": ""无"", ""mode"": ""享道出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118']","['5','50','70','83','91','118']",0,1,1,0,1,1,0,1,
,,天一阁博物院文献交接，栎社机场到馆区，使用旅程约车车型的车,高德车列表,sessionId20250624lhx1121,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n天一阁博物院文献交接，栎社机场到馆区，使用旅程约车车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""天一阁博物院文献交接，栎社机场到馆区，使用旅程约车车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""旅程约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""旅程约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '40', '59', '73', '115']","['14','40','59','115']",1,1,1,1,1,1,0,1,
,,灵山大佛开光法会物资，硕放机场下单，使用风韵出行车型的车,高德车列表,sessionId20250624lhx1122,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n灵山大佛开光法会物资，硕放机场下单，使用风韵出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""灵山大佛开光法会物资，硕放机场下单，使用风韵出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""风韵出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""风韵出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['9', '32', '60', '76', '94']","['9','32','60','76','94']",1,1,1,1,1,1,1,1,
,,沈阳故宫的修复器材运输，去桃仙机场，选经济分类的车,高德车列表,sessionId20250624lhx1123,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n沈阳故宫的修复器材运输，去桃仙机场，选经济分类的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""沈阳故宫的修复器材运输，去桃仙机场，选经济分类的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""经济分类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""经济分类的车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '72', '74', '111']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",1,1,1,1,1,1,1,1,
,,星海广场的无人机设备，周水子机场，使用沛途出行车型的车,高德车列表,sessionId20250624lhx1124,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n星海广场的无人机设备，周水子机场，使用沛途出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""星海广场的无人机设备，周水子机场，使用沛途出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""沛途出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""沛途出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['19', '39', '58', '104']","['19','39','58','104']",1,1,1,1,1,1,1,1,
,,中央大街步行街的巡展道具，前往太平机场，打的聚优出租，立刻出发,高德车列表,sessionId20250624lhx1125,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n中央大街步行街的巡展道具，前往太平机场，打的聚优出租，立刻出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""中央大街步行街的巡展道具，前往太平机场，打的聚优出租，立刻出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['15', '66', '74', '116']","['15','66','116']",1,1,1,1,1,0,0,1,
,,净月潭国家森林公园团建，龙嘉机场叫南京出租车型现在出发，开发票报销,高德车列表,sessionId20250624lhx1126,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n净月潭国家森林公园团建，龙嘉机场叫南京出租车型现在出发，开发票报销\n\n"",""exts"":""{\""userHistoryInputContent\"":\""净月潭国家森林公园团建，龙嘉机场叫南京出租车型现在出发，开发票报销\""}""}]","```json
[{""app"": ""无"", ""category"": ""南京出租车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""南京出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '67', '68', '69', '106', '108', '109', '110']","['22','67','106']",1,1,1,1,1,1,0,1,
