model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否包含价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
|14|高德地图|特快车|超值体验 更快上车|52|
|15|高德地图|出租车|车多应答快|55|
|16|高德地图|优享型|添猫出行|63|
|17|高德地图|优享型|旗妙出行|63|
|18|高德地图|优享型|妥妥E行|63|
|19|高德地图|优享型|及时用车|63|
|20|高德地图|优享型|AA出行|64|
|21|高德地图|优享型|东潮出行|64|
|22|高德地图|优享型|环旅出行|65|
|23|高德地图|轻享专车|静音不打扰 整洁无异味|71|
|24|高德地图|品质专车|静音不打扰 整洁无异味|76|
|25|高德地图|六座商务|宽敞空间 商务体验|85|
|26|高德地图|豪华型|车型高端 服务专业|91|
|27|高德地图|经济|首汽约车|102|
|28|高德地图|拼车|特惠快车|112|
|29|高德地图|特价出发|惊喜特价|124|
|30|高德地图|特价出发|更多特价|125|
|31|高德地图|快速出发|无|134|
|32|高德地图|惠享专车|曹操出行|148|
|33|高德地图|惠享专车|阳光出行|150|
|34|高德地图|推荐|极速拼车|165|
|35|高德地图|豪华型|undefined|111-116|",无,无|无,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",高德,,高德,无,,无,无,,无,False,,False,0,,0,0,,0,1.071909428,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': '东潮出行'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '旗妙出行'}, {'优享型': '添猫出行'}, {'优享型': '环旅出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '曹操出行'}, {'惠享专车': '阳光出行'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': 'AA出行'}, {'经济型': '东潮出行'}, {'经济型': '中军出行'}, {'经济型': '全民GO'}, {'经济型': '方舟行'}, {'经济型': '旗妙出行'}, {'经济型': '星徽出行'}, {'经济型': '神州专车'}, {'经济型': '聚的新出租'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,用高德打的去附近的万象城，车型不限但选最快路线。
Qwen2.5-32B-Instruct,打的去市图书馆，预算不超过60块。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|37-40|
|1|高德地图|     |特惠快车|43-44|
|2|高德地图|经济型|J刻出行|46|
|3|高德地图|经济型|日初出行|46|
|4|高德地图|经济型|享道出行|46|
|5|高德地图|经济型|及时用车|46|
|6|高德地图|经济型|K9用车|46|
|7|高德地图|经济型|北京新出租|46|
|8|高德地图|经济型|AA出行|47|
|9|高德地图|经济型|橄榄新出租|47|
|10|高德地图|经济型|深圳出租|47|
|11|高德地图|经济型|方舟行|48|
|12|高德地图|经济型|北京的士|48|
|13|高德地图|经济型|T3出行|48|
|14|高德地图|经济型|有序出行|48|
|15|高德地图|经济型|神州专车|49|
|16|高德地图|经济型|星徽出行|49|
|17|高德地图|经济型|中军出行|49|
|18|高德地图|经济型|国泰出租|49|
|19|高德地图|经济型|聚的新出租|49|
|20|高德地图|特快车|超值体验 更快上车|53|
|21|高德地图|出租车|车多应答快|56|
|22|高德地图|优享型|添猫出行|61|
|23|高德地图|优享型|腾飞出行|62|
|24|高德地图|优享型|及时用车|63|
|25|高德地图|优享型|优e出行特选|63|
|26|高德地图|优享型|风韵出行|63|
|27|高德地图|优享型|飞嘀打车|63|
|28|高德地图|优享型|斑马快跑|64|
|29|高德地图|优享型|阳光出行|64|
|30|高德地图|优享型|东潮出行|65|
|31|高德地图|优享型|神州专车|65|
|32|高德地图|优享型|星徽出行|65|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|69|
|34|高德地图|品质专车|静音不打扰 整洁无异味|76|
|35|高德地图|六座商务|宽敞空间 商务体验|84|
|36|高德地图|豪华型|车型高端 服务专业|93|
|37|高德地图|经济|首汽约车|101|
|38|高德地图|拼车|出租车拼车|111|
|39|高德地图|特价出发|惊喜特价|123|
|40|高德地图|特价出发|更多特价|124|
|41|高德地图|快速出发|无|134|
|42|高德地图|惠享专车|神州专车|149|
|43|高德地图|惠享专车|精选车型 优质司机|149|
|44|高德地图|推荐|特惠快车|164|
|45|高德地图|豪华型|undefined|110-112|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,60,,60,1.05501008,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '神州专车'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': 'K9用车'}, {'经济型': 'T3出行'}, {'经济型': '中军出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '国泰出租'}, {'经济型': '方舟行'}, {'经济型': '日初出行'}, {'经济型': '星徽出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '深圳出租'}, {'经济型': '神州专车'}, {'经济型': '聚的新出租'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去市图书馆，预算不超过60块。
Qwen2.5-32B-Instruct,打的去世纪公园，六十块钱左右的车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-51|
|1|高德地图|     |特惠快车|54-55|
|2|高德地图|经济型|腾飞出行|60|
|3|高德地图|经济型|旗妙出行|60|
|4|高德地图|经济型|J刻出行|61|
|5|高德地图|经济型|妥妥E行|61|
|6|高德地图|经济型|AA出行|62|
|7|高德地图|经济型|曹操出行|62|
|8|高德地图|经济型|首汽约车|62|
|9|高德地图|经济型|斑马快跑|62|
|10|高德地图|经济型|阳光出行|63|
|11|高德地图|经济型|T3出行|63|
|12|高德地图|经济型|有序出行|63|
|13|高德地图|经济型|渔阳出行|63|
|14|高德地图|经济型|365约车|64|
|15|高德地图|经济型|国泰出租|64|
|16|高德地图|特快车|超值体验 更快上车|68|
|17|高德地图|出租车|车多应答快|75|
|18|高德地图|优享型|腾飞出行|82|
|19|高德地图|优享型|全民GO|82|
|20|高德地图|优享型|风韵出行|82|
|21|高德地图|优享型|首汽约车|82|
|22|高德地图|优享型|阳光出行|83|
|23|高德地图|优享型|东潮出行|83|
|24|高德地图|优享型|星徽出行|84|
|25|高德地图|轻享专车|静音不打扰 整洁无异味|91|
|26|高德地图|品质专车|静音不打扰 整洁无异味|100|
|27|高德地图|六座商务|宽敞空间 商务体验|110|
|28|高德地图|豪华型|车型高端 服务专业|122|
|29|高德地图|经济|首汽约车|132|
|30|高德地图|拼车|特惠快车|149|
|31|高德地图|特价出发|更多特价|163|
|32|高德地图|快速出发|无|180|
|33|高德地图|惠享专车|添猫出行|196|
|34|高德地图|推荐|推荐专车|213|
|35|高德地图|豪华型|undefined|138-142|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 60, ""price_max"": 60, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,60,,60,60,,60,1.091852665,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '全民GO'}, {'优享型': '星徽出行'}, {'优享型': '腾飞出行'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '添猫出行'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': 'T3出行'}, {'经济型': '国泰出租'}, {'经济型': '妥妥E行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '渔阳出行'}, {'经济型': '腾飞出行'}, {'经济型': '阳光出行'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去世纪公园，六十块钱左右的车。
Qwen2.5-32B-Instruct,打的去杭州东站，越快越好。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|16-16|
|1|高德地图|     |特惠快车|18-21|
|2|高德地图|经济型|旅程出租|20|
|3|高德地图|经济型|腾飞出行|20|
|4|高德地图|经济型|全民GO|20|
|5|高德地图|经济型|妥妥E行|20|
|6|高德地图|经济型|如祺出行|20|
|7|高德地图|经济型|北京新出租|20|
|8|高德地图|经济型|AA出行|20|
|9|高德地图|经济型|首汽约车|21|
|10|高德地图|经济型|900出行|21|
|11|高德地图|经济型|斑马快跑|21|
|12|高德地图|经济型|方舟行|22|
|13|高德地图|经济型|T3出行|22|
|14|高德地图|经济型|渔阳出行|22|
|15|高德地图|经济型|星徽出行|23|
|16|高德地图|经济型|365约车|23|
|17|高德地图|经济型|国泰出租|24|
|18|高德地图|经济型|易至出行|24|
|19|高德地图|特快车|超值体验 更快上车|26|
|20|高德地图|出租车|车多应答快|27|
|21|高德地图|优享型|添猫出行|28|
|22|高德地图|优享型|火箭出行|29|
|23|高德地图|优享型|及时用车|30|
|24|高德地图|优享型|优e出行特选|31|
|25|高德地图|优享型|东潮出行|31|
|26|高德地图|优享型|星徽出行|31|
|27|高德地图|优享型|中交出行|32|
|28|高德地图|优享型|享道出行|32|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|31|
|30|高德地图|品质专车|静音不打扰 整洁无异味|34|
|31|高德地图|六座商务|宽敞空间 商务体验|40|
|32|高德地图|豪华型|车型高端 服务专业|44|
|33|高德地图|经济|首汽约车|46|
|34|高德地图|拼车|出租车拼车|51|
|35|高德地图|特价出发|惊喜特价|56|
|36|高德地图|特价出发|更多特价|59|
|37|高德地图|快速出发|无|62|
|38|高德地图|惠享专车|好车好服务|70|
|39|高德地图|惠享专车|及时用车|71|
|40|高德地图|推荐|特惠快车|79|
|41|高德地图|豪华型|undefined|61-63|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.040337086,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '及时用车'}, {'惠享专车': '好车好服务'}, {'拼车': '出租车拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'T3出行'}, {'经济型': '全民GO'}, {'经济型': '北京新出租'}, {'经济型': '国泰出租'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': '斑马快跑'}, {'经济型': '方舟行'}, {'经济型': '旅程出租'}, {'经济型': '易至出行'}, {'经济型': '星徽出行'}, {'经济型': '渔阳出行'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去杭州东站，越快越好。
Qwen2.5-32B-Instruct,打的去鸟巢，选经济车型。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|8-10|
|1|高德地图|     |特惠快车|8-10|
|2|高德地图|经济型|腾飞出行|8|
|3|高德地图|经济型|旗妙出行|8|
|4|高德地图|经济型|全民GO|8|
|5|高德地图|经济型|妥妥E行|8|
|6|高德地图|经济型|及时用车|9|
|7|高德地图|经济型|K9用车|9|
|8|高德地图|经济型|如祺出行|9|
|9|高德地图|经济型|900出行|10|
|10|高德地图|经济型|T3出行|10|
|11|高德地图|经济型|神州专车|10|
|12|高德地图|经济型|星徽出行|11|
|13|高德地图|经济型|365约车|11|
|14|高德地图|经济型|北京的士|11|
|15|高德地图|经济型|易至出行|12|
|16|高德地图|特快车|超值体验 更快上车|12|
|17|高德地图|出租车|车多应答快|14|
|18|高德地图|优享型|火箭出行|12|
|19|高德地图|优享型|及时用车|13|
|20|高德地图|优享型|妥妥E行|14|
|21|高德地图|优享型|优e出行特选|14|
|22|高德地图|优享型|曹操出行|14|
|23|高德地图|优享型|斑马快跑|14|
|24|高德地图|优享型|东潮出行|15|
|25|高德地图|优享型|T3出行|15|
|26|高德地图|优享型|神州专车|16|
|27|高德地图|优享型|中交出行|16|
|28|高德地图|优享型|享道出行|16|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|17|
|30|高德地图|品质专车|静音不打扰 整洁无异味|18|
|31|高德地图|六座商务|宽敞空间 商务体验|18|
|32|高德地图|豪华型|车型高端 服务专业|18|
|33|高德地图|经济|首汽约车|24|
|34|高德地图|拼车|出租车拼车|24|
|35|高德地图|特价出发|惊喜特价|25|
|36|高德地图|快速出发|无|28|
|37|高德地图|惠享专车|好车好服务|34|
|38|高德地图|推荐|推荐专车|38|
|39|高德地图|豪华型|undefined|36-39|",1，2，3，4，5，6，7，8，9，10，11，12，13，14，15，33，35,|特惠快车，经济型|腾飞出行，经济型|旗妙出行，经济型|全民GO，经济型|妥妥E行，经济型|及时用车，经济型|K9用车，经济型|如祺出行，经济型|900出行，经济型|T3出行，经济型|神州专车，经济型|星徽出行，经济型|365约车，经济型|北京的士，经济型|易至出行，经济|首汽约车，特价出发|惊喜特价,"[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,经济型,经济型，经济，特价出发,经济型，经济，特价出发,无,特惠快车,特惠快车,True,FALSE,False,-1,0,0,0,,0,1.086643219,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误,其他",没有明确的价格需求,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '曹操出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '好车好服务'}, {'拼车': '出租车拼车'}, {'推荐': '推荐专车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '900出行'}, {'经济型': 'K9用车'}, {'经济型': 'T3出行'}, {'经济型': '全民GO'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'经济型': '易至出行'}, {'经济型': '星徽出行'}, {'经济型': '神州专车'}, {'经济型': '腾飞出行'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",经济型，经济，特价出发,特惠快车,,打的去鸟巢，选经济车型。
Qwen2.5-32B-Instruct,打的去南山急诊，不限车型。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|29-29|
|1|高德地图|     |特惠快车|32-33|
|2|高德地图|经济型|旗妙出行|33|
|3|高德地图|经济型|日初出行|33|
|4|高德地图|经济型|妥妥E行|33|
|5|高德地图|经济型|及时用车|34|
|6|高德地图|经济型|K9用车|34|
|7|高德地图|经济型|AA出行|34|
|8|高德地图|经济型|聚的新出租|35|
|9|高德地图|经济型|900出行|35|
|10|高德地图|经济型|方舟行|36|
|11|高德地图|经济型|阳光出行|36|
|12|高德地图|经济型|有序出行|36|
|13|高德地图|经济型|渔阳出行|36|
|14|高德地图|经济型|橄榄新出租|36|
|15|高德地图|经济型|中军出行|36|
|16|高德地图|经济型|国泰出租|36|
|17|高德地图|经济型|中交出行|37|
|18|高德地图|经济型|易至出行|37|
|19|高德地图|特快车|超值体验 更快上车|39|
|20|高德地图|出租车|车多应答快|43|
|21|高德地图|优享型|腾飞出行|45|
|22|高德地图|优享型|享道出行|45|
|23|高德地图|优享型|火箭出行|46|
|24|高德地图|优享型|风韵出行|47|
|25|高德地图|优享型|AA出行|47|
|26|高德地图|优享型|飞嘀打车|47|
|27|高德地图|优享型|东潮出行|48|
|28|高德地图|优享型|T3出行|48|
|29|高德地图|优享型|中交出行|49|
|30|高德地图|轻享专车|静音不打扰 整洁无异味|54|
|31|高德地图|品质专车|静音不打扰 整洁无异味|57|
|32|高德地图|六座商务|宽敞空间 商务体验|62|
|33|高德地图|豪华型|车型高端 服务专业|70|
|34|高德地图|经济|首汽约车|78|
|35|高德地图|拼车|特惠快车|82|
|36|高德地图|拼车|出租车拼车|85|
|37|高德地图|特价出发|惊喜特价|95|
|38|高德地图|快速出发|无|100|
|39|高德地图|惠享专车|T3出行|112|
|40|高德地图|推荐|推荐专车|124|
|41|高德地图|豪华型|undefined|89-93|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.039619923,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '火箭出行'}, {'优享型': '腾飞出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'K9用车'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '及时用车'}, {'经济型': '国泰出租'}, {'经济型': '妥妥E行'}, {'经济型': '方舟行'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '渔阳出行'}, {'经济型': '聚的新出租'}, {'经济型': '阳光出行'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去南山急诊，不限车型。
Qwen2.5-32B-Instruct,打的去浦东机场，要电子发票。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|24-24|
|1|高德地图|     |特惠快车|26-27|
|2|高德地图|经济型|腾飞出行|27|
|3|高德地图|经济型|旅程出租|27|
|4|高德地图|经济型|J刻出行|28|
|5|高德地图|经济型|北京新出租|28|
|6|高德地图|经济型|AA出行|29|
|7|高德地图|经济型|飞嘀打车|29|
|8|高德地图|经济型|聚的新出租|29|
|9|高德地图|经济型|365约车|29|
|10|高德地图|经济型|首汽约车|30|
|11|高德地图|经济型|斑马快跑|30|
|12|高德地图|经济型|阳光出行|30|
|13|高德地图|经济型|东潮出行|30|
|14|高德地图|经济型|有序出行|30|
|15|高德地图|经济型|渔阳出行|30|
|16|高德地图|经济型|橄榄新出租|31|
|17|高德地图|经济型|中军出行|31|
|18|高德地图|经济型|享道出行|31|
|19|高德地图|经济型|易至出行|31|
|20|高德地图|特快车|超值体验 更快上车|32|
|21|高德地图|出租车|车多应答快|36|
|22|高德地图|优享型|添猫出行|36|
|23|高德地图|优享型|旗妙出行|36|
|24|高德地图|优享型|腾飞出行|36|
|25|高德地图|优享型|及时用车|37|
|26|高德地图|优享型|风韵出行|37|
|27|高德地图|优享型|优e出行特选|37|
|28|高德地图|优享型|飞嘀打车|37|
|29|高德地图|优享型|斑马快跑|38|
|30|高德地图|优享型|T3出行|39|
|31|高德地图|优享型|星徽出行|39|
|32|高德地图|轻享专车|静音不打扰 整洁无异味|40|
|33|高德地图|品质专车|静音不打扰 整洁无异味|49|
|34|高德地图|六座商务|宽敞空间 商务体验|49|
|35|高德地图|豪华型|车型高端 服务专业|58|
|36|高德地图|经济|首汽约车|62|
|37|高德地图|拼车|特惠快车|68|
|38|高德地图|拼车|出租车拼车|68|
|39|高德地图|特价出发|惊喜特价|75|
|40|高德地图|特价出发|更多特价|77|
|41|高德地图|快速出发|无|83|
|42|高德地图|惠享专车|精选车型 优质司机|90|
|43|高德地图|惠享专车|T3出行|92|
|44|高德地图|推荐|推荐专车|100|
|45|高德地图|豪华型|undefined|74-79|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.060283422,,,陆迎,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '腾飞出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': '东潮出行'}, {'经济型': '中军出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '斑马快跑'}, {'经济型': '旅程出租'}, {'经济型': '易至出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '渔阳出行'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去浦东机场，要电子发票。
Qwen2.5-32B-Instruct,打的去南站北门，选经济型。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|39-40|
|1|高德地图|     |特惠快车|44-47|
|2|高德地图|经济型|AA出行|48|
|3|高德地图|经济型|曹操出行|48|
|4|高德地图|经济型|添猫出行|48|
|5|高德地图|经济型|如祺出行|48|
|6|高德地图|经济型|深圳出租|49|
|7|高德地图|经济型|900出行|49|
|8|高德地图|经济型|易至出行|49|
|9|高德地图|经济型|全民GO|50|
|10|高德地图|经济型|飞嘀打车|50|
|11|高德地图|经济型|方舟行|50|
|12|高德地图|经济型|橄榄新出租|50|
|13|高德地图|经济型|聚的新出租|50|
|14|高德地图|经济型|妥妥E行|51|
|15|高德地图|经济型|K9用车|51|
|16|高德地图|经济型|奇华出行|51|
|17|高德地图|经济型|阳光出行|51|
|18|高德地图|经济型|有序出行|52|
|19|高德地图|经济型|神州专车|52|
|20|高德地图|经济型|中军出行|52|
|21|高德地图|经济型|北京的士|52|
|22|高德地图|特快车|超值体验 更快上车|57|
|23|高德地图|出租车|车多应答快|61|
|24|高德地图|优享型|添猫出行|65|
|25|高德地图|优享型|全民GO|65|
|26|高德地图|优享型|曹操出行|66|
|27|高德地图|优享型|飞嘀打车|67|
|28|高德地图|优享型|环旅出行|67|
|29|高德地图|优享型|阳光出行|67|
|30|高德地图|优享型|T3出行|68|
|31|高德地图|优享型|神州专车|69|
|32|高德地图|轻享专车|静音不打扰 整洁无异味|73|
|33|高德地图|品质专车|静音不打扰 整洁无异味|83|
|34|高德地图|六座商务|宽敞空间 商务体验|87|
|35|高德地图|豪华型|车型高端 服务专业|100|
|36|高德地图|经济|首汽约车|106|
|37|高德地图|拼车|特惠快车|117|
|38|高德地图|拼车|出租车拼车|119|
|39|高德地图|特价出发|惊喜特价|129|
|40|高德地图|快速出发|无|146|
|41|高德地图|惠享专车|好车好服务|156|
|42|高德地图|推荐|特惠快车|173|
