query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,think_time,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
用高德打个聚优出租去创新大厦，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|17|高德地图|经济型|国泰出租|64|
|18|高德地图|经济型|腾飞出行|64|
|19|高德地图|经济型|北京新出租|64|
|20|高德地图|经济型|飞嘀打车|64|
|21|高德地图|经济型|如祺出行|64|
|22|高德地图|经济型|聚优出租|64|
|23|高德地图|特快车|超值体验 更快上车|69|
|24|高德地图|出租车|车多应答快|74|
|25|高德地图|出租车|鞍马聚的-高档出租车|75|
|26|高德地图|优享型|腾飞出行|81|
|27|高德地图|优享型|风韵出行|81|
|28|高德地图|优享型|T3出行|82|
|29|高德地图|优享型|火箭出行|82|
|30|高德地图|优享型|及时用车|82|
|31|高德地图|优享型|斑马快跑|83|
|32|高德地图|优享型|神州专车|84|
|33|高德地图|优享型|全民GO|84|
|34|高德地图|优享型|优e出行特选|84|
|35|高德地图|优享型|添猫出行|84|
|36|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|37|高德地图|品质专车|静音不打扰 整洁无异味|102|
|38|高德地图|六座商务|宽敞空间 商务体验|108|
|39|高德地图|豪华型|车型高端 服务专业|120|
|40|高德地图|经济|首汽约车|134|
|41|高德地图|拼车|特惠快车|148|
|42|高德地图|特价出发|更多特价|162|
|43|高德地图|快速出发|无|179|
|44|高德地图|惠享专车|好车好服务|198|
|45|高德地图|推荐|推荐专车|217|
|46|高德地图|豪华型|undefined|138-142|","[{""app"": ""聚"", ""category"": ""无"", ""mode"": ""新出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",聚,无,无,,新出租,"鞍马聚的新出租,聚的新出租,鞍马聚的-高档出租车",False,0,0,15.08616185,直接命中车小类关键字但answer中没有或错误,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""添猫出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""K9用车""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京新出租""}, {""经济型"": ""国泰出租""}, {""经济型"": ""如祺出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""方舟行""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,准备去苏州河畔，用聚的新出租。,无,"鞍马聚的新出租,聚的新出租,鞍马聚的-高档出租车",
用高德，叫个聚的新出租去上海大剧院，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|49-49|
|1|高德地图|     |特惠快车|53-53|
|2|高德地图|经济型|奇华出行|57|
|3|高德地图|经济型|聚优出租|57|
|4|高德地图|经济型|腾飞新出租|57|
|5|高德地图|经济型|腾飞出行|58|
|6|高德地图|经济型|风韵出行|58|
|7|高德地图|经济型|国泰出租|58|
|8|高德地图|经济型|叮叮出行|59|
|9|高德地图|经济型|享道出行|59|
|10|高德地图|经济型|K9用车|59|
|11|高德地图|经济型|有序出行|59|
|12|高德地图|经济型|东潮出行|59|
|13|高德地图|经济型|AA出行|59|
|14|高德地图|经济型|飞嘀打车|60|
|15|高德地图|经济型|聚的出租车|60|
|16|高德地图|经济型|深圳出租|61|
|17|高德地图|经济型|聚的新出租|61|
|18|高德地图|经济型|阳光出行|61|
|19|高德地图|特快车|超值体验 更快上车|65|
|20|高德地图|出租车|鞍马聚的-高档出租车|70|
|21|高德地图|优享型|妥妥E行|77|
|22|高德地图|优享型|首汽约车|77|
|23|高德地图|优享型|腾飞出行|77|
|24|高德地图|优享型|风韵出行|78|
|25|高德地图|优享型|及时用车|78|
|26|高德地图|优享型|旗妙出行|79|
|27|高德地图|优享型|斑马快跑|79|
|28|高德地图|优享型|东潮出行|79|
|29|高德地图|优享型|AA出行|81|
|30|高德地图|优享型|中交出行|81|
|31|高德地图|优享型|添猫出行|81|
|32|高德地图|优享型|星徽出行|81|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|87|
|34|高德地图|品质专车|静音不打扰 整洁无异味|95|
|35|高德地图|六座商务|宽敞空间 商务体验|107|
|36|高德地图|豪华型|车型高端 服务专业|117|
|37|高德地图|经济|首汽约车|127|
|38|高德地图|拼车|特惠快车|139|
|39|高德地图|特价出发|更多特价|154|
|40|高德地图|特价出发|惊喜特价|157|
|41|高德地图|快速出发|无|168|
|42|高德地图|惠享专车|神州专车|185|
|43|高德地图|推荐|推荐专车|208|
|44|高德地图|豪华型|undefined|133-134|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚的新出租"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,无,,聚的新出租,"聚的出租车,聚的新出租,鞍马聚的-高档出租车",True,0,100000,30.15572119,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""星徽出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""风韵出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""神州专车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""K9用车""}, {""经济型"": ""东潮出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""国泰出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""深圳出租""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""阳光出行""}, {""经济型"": ""风韵出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德，叫个聚的新出租去上海大剧院，价格不限。,无,"聚的出租车,聚的新出租,鞍马聚的-高档出租车",
帮我打个车去世博园，用聚的新出租，价格不超过180。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|54-54|
|1|高德地图|     |特惠快车|58-58|
|2|高德地图|经济型|南京出租|64|
|3|高德地图|经济型|腾飞新出租|64|
|4|高德地图|经济型|享道出行|64|
|5|高德地图|经济型|聚优出行|64|
|6|高德地图|经济型|聚的出租车|65|
|7|高德地图|经济型|日初出行|65|
|8|高德地图|经济型|全民GO|65|
|9|高德地图|经济型|深圳出租|65|
|10|高德地图|经济型|渔阳出行|66|
|11|高德地图|经济型|妥妥E行|66|
|12|高德地图|经济型|叮叮出行|66|
|13|高德地图|经济型|K9用车|66|
|14|高德地图|经济型|旗妙出行|67|
|15|高德地图|经济型|星徽出行|67|
|16|高德地图|经济型|奇华出行|67|
|17|高德地图|经济型|橄榄新出租|67|
|18|高德地图|经济型|365约车|68|
|19|高德地图|经济型|中军出行|68|
|20|高德地图|经济型|腾飞出行|68|
|21|高德地图|经济型|阳光出行|68|
|22|高德地图|特快车|超值体验 更快上车|74|
|23|高德地图|出租车|鞍马聚的-高档出租车|82|
|24|高德地图|优享型|首汽约车|86|
|25|高德地图|优享型|腾飞出行|87|
|26|高德地图|优享型|曹操出行|88|
|27|高德地图|优享型|及时用车|89|
|28|高德地图|优享型|旗妙出行|90|
|29|高德地图|优享型|神州专车|90|
|30|高德地图|优享型|添猫出行|90|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|95|
|32|高德地图|品质专车|静音不打扰 整洁无异味|107|
|33|高德地图|六座商务|宽敞空间 商务体验|118|
|34|高德地图|豪华型|车型高端 服务专业|130|
|35|高德地图|经济|首汽约车|144|
|36|高德地图|拼车|出租车拼车|157|
|37|高德地图|特价出发|更多特价|174|
|38|高德地图|快速出发|无|191|
|39|高德地图|惠享专车|及时用车|206|
|40|高德地图|惠享专车|好车好服务|208|
|41|高德地图|推荐|推荐专车|229|
|42|高德地图|推荐|极速拼车|230|
|43|高德地图|豪华型|undefined|147-151|","[{""app"": ""聚的"", ""category"": ""无"", ""mode"": ""新出租"", ""price"": True, ""price_min"": 0, ""price_max"": 180, ""fast"": False}]",聚的,无,无,,新出租,"聚的出租车,鞍马聚的-高档出租车",True,0,180,10.32074189,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""及时用车""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""推荐专车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""K9用车""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""南京出租""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""奇华出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""日初出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""深圳出租""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""阳光出行""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,帮我打个车去世博园，用聚的新出租，价格不超过180。,无,"聚的出租车,鞍马聚的-高档出租车",
叫个车去上海音乐厅，用聚的新出租，价格100左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-53|
|1|高德地图|     |特惠快车|57-58|
|2|高德地图|经济型|南京出租|63|
|3|高德地图|经济型|旅程出租|63|
|4|高德地图|经济型|享道出行|63|
|5|高德地图|经济型|鞍马聚的新出租|63|
|6|高德地图|经济型|中交出行|63|
|7|高德地图|经济型|全民GO|63|
|8|高德地图|经济型|添猫出行|64|
|9|高德地图|经济型|妥妥E行|64|
|10|高德地图|经济型|J刻出行|64|
|11|高德地图|经济型|有序出行|64|
|12|高德地图|经济型|神州专车|64|
|13|高德地图|经济型|首汽约车|65|
|14|高德地图|经济型|奇华出行|65|
|15|高德地图|经济型|T3出行|65|
|16|高德地图|经济型|迪尔出行|65|
|17|高德地图|经济型|风韵出行|65|
|18|高德地图|经济型|腾飞出行|66|
|19|高德地图|经济型|北京新出租|66|
|20|高德地图|经济型|及时用车|67|
|21|高德地图|经济型|如祺出行|67|
|22|高德地图|经济型|阳光出行|67|
|23|高德地图|特快车|超值体验 更快上车|70|
|24|高德地图|出租车|鞍马聚的-高档出租车|80|
|25|高德地图|优享型|旅程专车|84|
|26|高德地图|优享型|风韵出行|84|
|27|高德地图|优享型|T3出行|86|
|28|高德地图|优享型|及时用车|86|
|29|高德地图|优享型|飞嘀打车|87|
|30|高德地图|优享型|神州专车|87|
|31|高德地图|优享型|中交出行|88|
|32|高德地图|优享型|首汽约车|88|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|96|
|34|高德地图|品质专车|静音不打扰 整洁无异味|104|
|35|高德地图|六座商务|宽敞空间 商务体验|116|
|36|高德地图|豪华型|车型高端 服务专业|126|
|37|高德地图|经济|首汽约车|139|
|38|高德地图|拼车|出租车拼车|155|
|39|高德地图|特价出发|更多特价|169|
|40|高德地图|特价出发|惊喜特价|170|
|41|高德地图|快速出发|无|187|
|42|高德地图|惠享专车|神州专车|202|
|43|高德地图|推荐|极速拼车|223|
|44|高德地图|豪华型|undefined|145-149|","[{""app"": ""聚"", ""category"": ""出租车"", ""mode"": ""新出租"", ""price"": True, ""price_min"": 100, ""price_max"": 100, ""fast"": False}]",聚,无,出租车,无,新出租,"鞍马聚的新出租,鞍马聚的-高档出租车",True,100,100,7.515925646,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""旅程专车""}, {""优享型"": ""神州专车""}, {""优享型"": ""风韵出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""神州专车""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""J刻出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京新出租""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""有序出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,叫个车去上海音乐厅，用聚的新出租，价格100左右。,出租车,"鞍马聚的新出租,鞍马聚的-高档出租车",
用高德，打个聚的新出租去龙华寺，价格在30左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-57|
|1|高德地图|     |特惠快车|64-67|
|2|高德地图|经济型|易至出行|68|
|3|高德地图|经济型|旅程出租|68|
|4|高德地图|经济型|享道出行|68|
|5|高德地图|经济型|聚的出租车|68|
|6|高德地图|经济型|日初出行|68|
|7|高德地图|经济型|添猫出行|69|
|8|高德地图|经济型|叮叮出行|69|
|9|高德地图|经济型|东潮出行|69|
|10|高德地图|经济型|神州专车|69|
|11|高德地图|经济型|AA出行|69|
|12|高德地图|经济型|星徽出行|69|
|13|高德地图|经济型|900出行|69|
|14|高德地图|经济型|方舟行|71|
|15|高德地图|经济型|橄榄新出租|71|
|16|高德地图|经济型|迪尔出行|71|
|17|高德地图|经济型|中军出行|71|
|18|高德地图|经济型|风韵出行|72|
|19|高德地图|经济型|曹操出行|72|
|20|高德地图|经济型|及时用车|72|
|21|高德地图|经济型|如祺出行|72|
|22|高德地图|经济型|阳光出行|72|
|23|高德地图|特快车|超值体验 更快上车|75|
|24|高德地图|出租车|车多应答快|85|
|25|高德地图|出租车|鞍马聚的-高档出租车|87|
|26|高德地图|优享型|妥妥E行|91|
|27|高德地图|优享型|享道出行|92|
|28|高德地图|优享型|及时用车|93|
|29|高德地图|优享型|斑马快跑|93|
|30|高德地图|优享型|神州专车|93|
|31|高德地图|优享型|星徽出行|94|
|32|高德地图|轻享专车|静音不打扰 整洁无异味|103|
|33|高德地图|品质专车|静音不打扰 整洁无异味|111|
|34|高德地图|六座商务|宽敞空间 商务体验|126|
|35|高德地图|豪华型|车型高端 服务专业|136|
|36|高德地图|经济|首汽约车|151|
|37|高德地图|拼车|出租车拼车|166|
|38|高德地图|拼车|特惠快车|167|
|39|高德地图|特价出发|更多特价|182|
|40|高德地图|快速出发|无|202|
|41|高德地图|惠享专车|及时用车|221|
|42|高德地图|推荐|特惠快车|241|
|43|高德地图|豪华型|undefined|152-155|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚的新出租"", ""price"": True, ""price_min"": 30, ""price_max"": 30, ""fast"": False}]",高德,,无,,聚的新出租,"聚的出租车,鞍马聚的-高档出租车",True,30,30,8.688319921,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""享道出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""星徽出行""}, {""优享型"": ""神州专车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""900出行""}, {""经济型"": ""AA出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""及时用车""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""方舟行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""日初出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""添猫出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""风韵出行""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德，打个聚的新出租去龙华寺，价格在30左右。,无,"聚的出租车,鞍马聚的-高档出租车",
帮我叫个车去上海植物园，用聚的新出租。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-54|
|1|高德地图|     |特惠快车|59-59|
|2|高德地图|经济型|易至出行|63|
|3|高德地图|经济型|聚优出行|63|
|4|高德地图|经济型|聚的出租车|63|
|5|高德地图|经济型|全民GO|63|
|6|高德地图|经济型|渔阳出行|64|
|7|高德地图|经济型|环旅出行|64|
|8|高德地图|经济型|J刻出行|64|
|9|高德地图|经济型|叮叮出行|64|
|10|高德地图|经济型|旗妙出行|64|
|11|高德地图|经济型|神州专车|65|
|12|高德地图|经济型|AA出行|65|
|13|高德地图|经济型|东潮出行|66|
|14|高德地图|经济型|首汽约车|66|
|15|高德地图|经济型|奇华出行|66|
|16|高德地图|经济型|橄榄新出租|66|
|17|高德地图|经济型|迪尔出行|66|
|18|高德地图|经济型|腾飞出行|67|
|19|高德地图|经济型|北京新出租|67|
|20|高德地图|经济型|及时用车|67|
|21|高德地图|特快车|超值体验 更快上车|72|
|22|高德地图|出租车|车多应答快|76|
|23|高德地图|出租车|鞍马聚的-高档出租车|78|
|24|高德地图|优享型|中交出行|84|
|25|高德地图|优享型|首汽约车|84|
|26|高德地图|优享型|腾飞出行|84|
|27|高德地图|优享型|T3出行|85|
|28|高德地图|优享型|火箭出行|85|
|29|高德地图|优享型|及时用车|85|
|30|高德地图|优享型|飞嘀打车|85|
|31|高德地图|优享型|东潮出行|86|
|32|高德地图|优享型|AA出行|86|
|33|高德地图|优享型|神州专车|86|
|34|高德地图|优享型|全民GO|88|
|35|高德地图|优享型|添猫出行|88|
|36|高德地图|优享型|阳光出行|88|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|94|
|38|高德地图|品质专车|静音不打扰 整洁无异味|103|
|39|高德地图|六座商务|宽敞空间 商务体验|116|
|40|高德地图|豪华型|车型高端 服务专业|126|
|41|高德地图|经济|首汽约车|141|
|42|高德地图|拼车|特惠快车|153|
|43|高德地图|特价出发|惊喜特价|167|
|44|高德地图|快速出发|无|185|
|45|高德地图|惠享专车|好车好服务|206|
|46|高德地图|推荐|特惠快车|227|
|47|高德地图|豪华型|undefined|143-144|","[{""app"": ""聚"", ""category"": ""无"", ""mode"": ""新出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",聚,无,无,,新出租,"聚的出租车,鞍马聚的-高档出租车",False,0,0,12.07770538,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""添猫出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京新出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""奇华出行""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""环旅出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,帮我叫个车去上海植物园，用聚的新出租。,无,"聚的出租车,鞍马聚的-高档出租车",
打个车去黄浦江游船码头，用聚的新出租，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-56|
|1|高德地图|     |特惠快车|64-64|
|2|高德地图|经济型|易至出行|68|
|3|高德地图|经济型|聚的出租车|68|
|4|高德地图|经济型|中交出行|68|
|5|高德地图|经济型|全民GO|68|
|6|高德地图|经济型|深圳出租|69|
|7|高德地图|经济型|妥妥E行|69|
|8|高德地图|经济型|J刻出行|69|
|9|高德地图|经济型|叮叮出行|70|
|10|高德地图|经济型|有序出行|70|
|11|高德地图|经济型|斑马快跑|70|
|12|高德地图|经济型|东潮出行|70|
|13|高德地图|经济型|AA出行|70|
|14|高德地图|经济型|奇华出行|71|
|15|高德地图|经济型|迪尔出行|71|
|16|高德地图|经济型|中军出行|71|
|17|高德地图|经济型|风韵出行|72|
|18|高德地图|经济型|国泰出租|72|
|19|高德地图|经济型|及时用车|72|
|20|高德地图|经济型|飞嘀打车|72|
|21|高德地图|经济型|如祺出行|72|
|22|高德地图|特快车|超值体验 更快上车|77|
|23|高德地图|出租车|鞍马聚的-高档出租车|87|
|24|高德地图|优享型|首汽约车|91|
|25|高德地图|优享型|旅程专车|92|
|26|高德地图|优享型|腾飞出行|92|
|27|高德地图|优享型|T3出行|92|
|28|高德地图|优享型|火箭出行|92|
|29|高德地图|优享型|旗妙出行|92|
|30|高德地图|优享型|斑马快跑|93|
|31|高德地图|优享型|东潮出行|93|
|32|高德地图|优享型|神州专车|93|
|33|高德地图|优享型|飞嘀打车|93|
|34|高德地图|优享型|AA出行|94|
|35|高德地图|优享型|中交出行|94|
|36|高德地图|优享型|添猫出行|95|
|37|高德地图|优享型|阳光出行|95|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|101|
|39|高德地图|品质专车|静音不打扰 整洁无异味|115|
|40|高德地图|六座商务|宽敞空间 商务体验|125|
|41|高德地图|豪华型|车型高端 服务专业|138|
|42|高德地图|经济|首汽约车|150|
|43|高德地图|拼车|出租车拼车|166|
|44|高德地图|拼车|特惠快车|167|
|45|高德地图|特价出发|惊喜特价|183|
|46|高德地图|快速出发|无|202|
|47|高德地图|惠享专车|曹操出行|220|
|48|高德地图|惠享专车|好车好服务|223|
|49|高德地图|推荐|极速拼车|244|
