query,车辆候选列表,全匹配,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,,,,,
用高德，打个车去北京南站，用斑马快跑经济型，价格不超过100元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|6|高德地图|经济型|鞍马聚的新出租|57|
|7|高德地图|经济型|聚的出租车|58|
|8|高德地图|经济型|全民GO|58|
|9|高德地图|经济型|渔阳出行|59|
|10|高德地图|经济型|深圳出租|59|
|11|高德地图|经济型|有序出行|60|
|12|高德地图|经济型|东潮出行|60|
|13|高德地图|经济型|AA出行|60|
|14|高德地图|经济型|斑马快跑|60|
|15|高德地图|经济型|星徽出行|60|
|16|高德地图|经济型|奇华出行|60|
|17|高德地图|经济型|900出行|60|
|18|高德地图|经济型|T3出行|60|
|19|高德地图|经济型|365约车|61|
|20|高德地图|经济型|有滴出行|61|
|21|高德地图|经济型|曹操出行|61|
|22|高德地图|特快车|超值体验 更快上车|67|
|23|高德地图|出租车|鞍马聚的-高档出租车|74|
|24|高德地图|优享型|妥妥E行|77|
|25|高德地图|优享型|星徽出行|77|
|26|高德地图|优享型|全民GO|77|
|27|高德地图|优享型|曹操出行|77|
|28|高德地图|优享型|享道出行|77|
|29|高德地图|优享型|及时用车|78|
|30|高德地图|优享型|斑马快跑|79|
|31|高德地图|优享型|AA出行|80|
|32|高德地图|优享型|中交出行|80|
|33|高德地图|优享型|优e出行特选|81|
|34|高德地图|优享型|环旅出行|81|
|35|高德地图|优享型|阳光出行|81|
|36|高德地图|轻享专车|静音不打扰 整洁无异味|85|
|37|高德地图|品质专车|静音不打扰 整洁无异味|98|
|38|高德地图|六座商务|宽敞空间 商务体验|107|
|39|高德地图|豪华型|车型高端 服务专业|115|
|40|高德地图|经济|首汽约车|130|
|41|高德地图|拼车|特惠快车|140|
|42|高德地图|特价出发|更多特价|154|
|43|高德地图|快速出发|无|168|
|44|高德地图|惠享专车|T3出行|189|
|45|高德地图|惠享专车|好车好服务|189|
|46|高德地图|推荐|推荐专车|205|
|47|高德地图|推荐|特惠快车|207|
|48|高德地图|豪华型|undefined|135-140|",经济型|全民GO,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""全民GO经济型"", ""price"": True, ""price_min"": 50, ""price_max"": 60, ""fast"": False}]",高德,,无,,全民GO经济型,全民GO,TRUE,50,60,,,王笑,,,,,
帮我叫个东潮出行优享型去雍和宫，价格不超过90元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-58|
|1|高德地图|     |特惠快车|63-65|
|2|高德地图|经济型|南京出租|68|
|3|高德地图|经济型|鞍马出行|68|
|4|高德地图|经济型|鞍马聚的新出租|69|
|5|高德地图|经济型|聚的出租车|70|
|6|高德地图|经济型|渔阳出行|70|
|7|高德地图|经济型|添猫出行|70|
|8|高德地图|经济型|妥妥E行|70|
|9|高德地图|经济型|叮叮出行|71|
|10|高德地图|经济型|K9用车|71|
|11|高德地图|经济型|AA出行|71|
|12|高德地图|经济型|首汽约车|71|
|13|高德地图|经济型|北京的士|71|
|14|高德地图|经济型|有滴出行|71|
|15|高德地图|经济型|中军出行|72|
|16|高德地图|经济型|风韵出行|72|
|17|高德地图|经济型|国泰出租|72|
|18|高德地图|经济型|5U出行|72|
|19|高德地图|经济型|曹操出行|72|
|20|高德地图|经济型|飞嘀打车|72|
|21|高德地图|特快车|超值体验 更快上车|78|
|22|高德地图|出租车|车多应答快|83|
|23|高德地图|出租车|鞍马聚的-高档出租车|87|
|24|高德地图|优享型|旅程专车|91|
|25|高德地图|优享型|风韵出行|91|
|26|高德地图|优享型|T3出行|91|
|27|高德地图|优享型|曹操出行|93|
|28|高德地图|优享型|及时用车|93|
|29|高德地图|优享型|旗妙出行|93|
|30|高德地图|优享型|斑马快跑|93|
|31|高德地图|优享型|飞嘀打车|94|
|32|高德地图|优享型|东潮出行|94|
|33|高德地图|优享型|全民GO|94|
|34|高德地图|优享型|首汽约车|94|
|35|高德地图|优享型|星徽出行|95|
|36|高德地图|优享型|阳光出行|95|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|104|
|38|高德地图|品质专车|静音不打扰 整洁无异味|114|
|39|高德地图|六座商务|宽敞空间 商务体验|126|
|40|高德地图|豪华型|车型高端 服务专业|138|
|41|高德地图|经济|首汽约车|152|
|42|高德地图|拼车|出租车拼车|164|
|43|高德地图|拼车|特惠快车|167|
|44|高德地图|特价出发|更多特价|182|
|45|高德地图|特价出发|惊喜特价|182|
|46|高德地图|快速出发|无|203|
|47|高德地图|惠享专车|曹操出行|220|
|48|高德地图|推荐|特惠快车|242|
|49|高德地图|推荐|极速拼车|244|
|50|高德地图|豪华型|undefined|153-158|",,"[{""app"": ""东潮"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 90, ""fast"": False}]",东潮,,优享型,无,无,东潮出行,TRUE,0,90,,,王笑,,,,,
用高德，准备去圆明园用聚的新出租经济型，价格在65左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-60|
|1|高德地图|     |特惠快车|63-66|
|2|高德地图|经济型|南京出租|69|
|3|高德地图|经济型|旅程出租|69|
|4|高德地图|经济型|易至出行|70|
|5|高德地图|经济型|鞍马聚的新出租|70|
|6|高德地图|经济型|中交出行|70|
|7|高德地图|经济型|深圳出租|70|
|8|高德地图|经济型|渔阳出行|70|
|9|高德地图|经济型|聚优出租|70|
|10|高德地图|经济型|叮叮出行|70|
|11|高德地图|经济型|旗妙出行|71|
|12|高德地图|经济型|斑马快跑|71|
|13|高德地图|经济型|神州专车|71|
|14|高德地图|经济型|AA出行|71|
|15|高德地图|经济型|星徽出行|71|
|16|高德地图|经济型|900出行|71|
|17|高德地图|经济型|T3出行|72|
|18|高德地图|经济型|北京的士|72|
|19|高德地图|经济型|聚的新出租|72|
|20|高德地图|经济型|5U出行|72|
|21|高德地图|经济型|曹操出行|73|
|22|高德地图|经济型|飞嘀打车|73|
|23|高德地图|经济型|阳光出行|73|
|24|高德地图|特快车|超值体验 更快上车|81|
|25|高德地图|出租车|车多应答快|86|
|26|高德地图|优享型|妥妥E行|93|
|27|高德地图|优享型|风韵出行|94|
|28|高德地图|优享型|火箭出行|94|
|29|高德地图|优享型|及时用车|95|
|30|高德地图|优享型|飞嘀打车|96|
|31|高德地图|优享型|全民GO|96|
|32|高德地图|优享型|首汽约车|97|
|33|高德地图|优享型|环旅出行|97|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|105|
|35|高德地图|品质专车|静音不打扰 整洁无异味|115|
|36|高德地图|六座商务|宽敞空间 商务体验|128|
|37|高德地图|豪华型|车型高端 服务专业|138|
|38|高德地图|经济|首汽约车|156|
|39|高德地图|拼车|特惠快车|167|
|40|高德地图|特价出发|更多特价|184|
|41|高德地图|快速出发|无|205|
|42|高德地图|惠享专车|阳光出行|225|
|43|高德地图|推荐|特惠快车|247|
|44|高德地图|豪华型|undefined|159-164|",,"[{""app"": ""高德"", ""category"": ""经济型"", ""mode"": ""聚的新出租"", ""price"": True, ""price_min"": 65, ""price_max"": 65, ""fast"": False}]",高德,,经济型,无,聚的新出租,聚的新出租，鞍马聚的新出租,TRUE,65,65,,,王笑,,,,,
用高德打车去景山公园，用深圳出租经济型，价格不限。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-58|
|1|高德地图|     |特惠快车|63-64|
|2|高德地图|经济型|旅程出租|69|
|3|高德地图|经济型|易至出行|69|
|4|高德地图|经济型|鞍马出行|69|
|5|高德地图|经济型|聚的出租车|69|
|6|高德地图|经济型|全民GO|69|
|7|高德地图|经济型|添猫出行|70|
|8|高德地图|经济型|J刻出行|70|
|9|高德地图|经济型|叮叮出行|70|
|10|高德地图|经济型|旗妙出行|70|
|11|高德地图|经济型|K9用车|70|
|12|高德地图|经济型|东潮出行|71|
|13|高德地图|经济型|神州专车|71|
|14|高德地图|经济型|星徽出行|71|
|15|高德地图|经济型|奇华出行|71|
|16|高德地图|经济型|900出行|72|
|17|高德地图|经济型|T3出行|72|
|18|高德地图|经济型|橄榄新出租|72|
|19|高德地图|经济型|北京的士|72|
|20|高德地图|经济型|365约车|72|
|21|高德地图|经济型|有滴出行|73|
|22|高德地图|经济型|聚的新出租|73|
|23|高德地图|经济型|中军出行|73|
|24|高德地图|经济型|飞嘀打车|73|
|25|高德地图|经济型|如祺出行|73|
|26|高德地图|特快车|超值体验 更快上车|77|
|27|高德地图|出租车|车多应答快|84|
|28|高德地图|出租车|鞍马聚的-高档出租车|85|
|29|高德地图|优享型|妥妥E行|94|
|30|高德地图|优享型|T3出行|94|
|31|高德地图|优享型|及时用车|94|
|32|高德地图|优享型|飞嘀打车|95|
|33|高德地图|优享型|斑马快跑|95|
|34|高德地图|优享型|中交出行|95|
|35|高德地图|优享型|添猫出行|96|
|36|高德地图|优享型|环旅出行|97|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|106|
|38|高德地图|品质专车|静音不打扰 整洁无异味|114|
|39|高德地图|六座商务|宽敞空间 商务体验|128|
|40|高德地图|豪华型|车型高端 服务专业|139|
|41|高德地图|经济|首汽约车|155|
|42|高德地图|拼车|特惠快车|170|
|43|高德地图|特价出发|惊喜特价|188|
|44|高德地图|快速出发|无|203|
|45|高德地图|惠享专车|及时用车|224|
|46|高德地图|惠享专车|阳光出行|227|
|47|高德地图|推荐|推荐专车|246|
|48|高德地图|推荐|极速拼车|249|
|49|高德地图|豪华型|undefined|158-162|",,"[{""app"": ""高德"", ""category"": ""深圳出租经济型"", ""mode"": ""深圳出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,深圳出租经济型,无,深圳出租,无,FALSE,0,0,,,王笑,,,,,
帮我叫个好车好服务惠享专车去国子监，价格在130到160之间。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-61|
|1|高德地图|     |特惠快车|63-66|
|2|高德地图|经济型|南京出租|69|
|3|高德地图|经济型|国泰出租|69|
|4|高德地图|经济型|腾飞出行|69|
|5|高德地图|经济型|易至出行|69|
|6|高德地图|经济型|北京新出租|70|
|7|高德地图|经济型|享道出行|70|
|8|高德地图|经济型|方舟行|70|
|9|高德地图|经济型|橄榄新出租|70|
|10|高德地图|经济型|阳光出行|72|
|11|高德地图|经济型|斑马快跑|72|
|12|高德地图|经济型|神州专车|72|
|13|高德地图|经济型|聚的出租车|72|
|14|高德地图|经济型|北京的士|72|
|15|高德地图|经济型|365约车|72|
|16|高德地图|经济型|深圳出租|73|
|17|高德地图|经济型|添猫出行|73|
|18|高德地图|经济型|星徽出行|73|
|19|高德地图|经济型|中军出行|73|
|20|高德地图|特快车|超值体验 更快上车|77|
|21|高德地图|出租车|车多应答快|85|
|22|高德地图|优享型|旅程专车|93|
|23|高德地图|优享型|腾飞出行|93|
|24|高德地图|优享型|风韵出行|93|
|25|高德地图|优享型|环旅出行|93|
|26|高德地图|优享型|曹操出行|94|
|27|高德地图|优享型|火箭出行|94|
|28|高德地图|优享型|及时用车|95|
|29|高德地图|优享型|旗妙出行|96|
|30|高德地图|优享型|飞嘀打车|96|
|31|高德地图|优享型|全民GO|97|
|32|高德地图|优享型|首汽约车|97|
|33|高德地图|优享型|星徽出行|97|
|34|高德地图|优享型|阳光出行|97|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|104|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|128|
|38|高德地图|豪华型|车型高端 服务专业|142|
|39|高德地图|经济|首汽约车|154|
|40|高德地图|拼车|出租车拼车|167|
|41|高德地图|拼车|特惠快车|168|
|42|高德地图|特价出发|更多特价|187|
|43|高德地图|快速出发|无|205|
|44|高德地图|惠享专车|好车好服务|227|
|45|高德地图|推荐|特惠快车|248|
|46|高德地图|推荐|极速拼车|249|
|47|高德地图|豪华型|undefined|160-163|",,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""惠享专车"", ""price"": True, ""price_min"": 130, ""price_max"": 160, ""fast"": False}]",无,,无,惠享专车,惠享专车,好车好服务,TRUE,130,160,,,王笑,,,,,
用高德叫个妥妥E行优享型去北海公园，价格在55左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|52-54|
|1|高德地图|     |特惠快车|58-60|
|2|高德地图|经济型|南京出租|61|
|3|高德地图|经济型|聚优出行|61|
|4|高德地图|经济型|鞍马聚的新出租|61|
|5|高德地图|经济型|聚的出租车|61|
|6|高德地图|经济型|全民GO|61|
|7|高德地图|经济型|添猫出行|61|
|8|高德地图|经济型|妥妥E行|61|
|9|高德地图|经济型|叮叮出行|62|
|10|高德地图|经济型|旗妙出行|62|
|11|高德地图|经济型|K9用车|62|
|12|高德地图|经济型|东潮出行|62|
|13|高德地图|经济型|神州专车|62|
|14|高德地图|经济型|橄榄新出租|63|
|15|高德地图|经济型|方舟行|63|
|16|高德地图|经济型|365约车|63|
|17|高德地图|经济型|聚的新出租|63|
|18|高德地图|经济型|风韵出行|63|
|19|高德地图|经济型|腾飞出行|64|
|20|高德地图|经济型|5U出行|64|
|21|高德地图|经济型|曹操出行|64|
|22|高德地图|经济型|北京新出租|65|
|23|高德地图|经济型|如祺出行|65|
|24|高德地图|经济型|聚优出租|65|
|25|高德地图|特快车|超值体验 更快上车|71|
|26|高德地图|出租车|鞍马聚的-高档出租车|76|
|27|高德地图|优享型|旅程专车|83|
|28|高德地图|优享型|腾飞出行|83|
|29|高德地图|优享型|T3出行|83|
|30|高德地图|优享型|享道出行|83|
|31|高德地图|优享型|及时用车|84|
|32|高德地图|优享型|火箭出行|84|
|33|高德地图|优享型|飞嘀打车|85|
|34|高德地图|优享型|神州专车|85|
|35|高德地图|优享型|斑马快跑|86|
|36|高德地图|优享型|添猫出行|87|
|37|高德地图|优享型|阳光出行|87|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|39|高德地图|品质专车|静音不打扰 整洁无异味|101|
|40|高德地图|六座商务|宽敞空间 商务体验|112|
|41|高德地图|豪华型|车型高端 服务专业|124|
|42|高德地图|经济|首汽约车|135|
|43|高德地图|拼车|出租车拼车|148|
|44|高德地图|特价出发|更多特价|163|
|45|高德地图|快速出发|无|180|
|46|高德地图|惠享专车|神州专车|201|
|47|高德地图|推荐|特惠快车|218|
|48|高德地图|豪华型|undefined|141-144|",,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""妥妥E行优享型"", ""price"": True, ""price_min"": 55, ""price_max"": 55, ""fast"": False}]",高德,,无,,妥妥E行优享型,无,TRUE,55,55,,,王笑,,,,,
叫个腾飞出行优享型去后海，价格不限。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|53-56|
|1|高德地图|     |特惠快车|59-59|
|2|高德地图|经济型|南京出租|63|
|3|高德地图|经济型|腾飞新出租|63|
|4|高德地图|经济型|旅程出租|63|
|5|高德地图|经济型|鞍马出行|63|
|6|高德地图|经济型|聚的出租车|63|
|7|高德地图|经济型|中交出行|63|
|8|高德地图|经济型|全民GO|63|
|9|高德地图|经济型|环旅出行|64|
|10|高德地图|经济型|叮叮出行|64|
|11|高德地图|经济型|K9用车|64|
|12|高德地图|经济型|旗妙出行|64|
|13|高德地图|经济型|东潮出行|64|
|14|高德地图|经济型|AA出行|64|
|15|高德地图|经济型|T3出行|65|
|16|高德地图|经济型|方舟行|65|
|17|高德地图|经济型|聚的新出租|65|
|18|高德地图|经济型|国泰出租|66|
|19|高德地图|经济型|风韵出行|66|
|20|高德地图|经济型|5U出行|66|
|21|高德地图|经济型|腾飞出行|67|
|22|高德地图|经济型|曹操出行|67|
|23|高德地图|经济型|飞嘀打车|67|
|24|高德地图|经济型|聚优出租|67|
|25|高德地图|特快车|超值体验 更快上车|72|
|26|高德地图|出租车|车多应答快|77|
|27|高德地图|优享型|妥妥E行|84|
|28|高德地图|优享型|T3出行|84|
|29|高德地图|优享型|火箭出行|84|
|30|高德地图|优享型|及时用车|85|
|31|高德地图|优享型|享道出行|85|
|32|高德地图|优享型|旗妙出行|86|
|33|高德地图|优享型|神州专车|86|
|34|高德地图|优享型|东潮出行|87|
|35|高德地图|优享型|中交出行|87|
|36|高德地图|优享型|添猫出行|88|
|37|高德地图|优享型|星徽出行|88|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|39|高德地图|品质专车|静音不打扰 整洁无异味|103|
|40|高德地图|六座商务|宽敞空间 商务体验|114|
|41|高德地图|豪华型|车型高端 服务专业|129|
|42|高德地图|经济|首汽约车|140|
|43|高德地图|拼车|出租车拼车|154|
|44|高德地图|特价出发|惊喜特价|169|
|45|高德地图|快速出发|无|185|
|46|高德地图|惠享专车|好车好服务|205|
|47|高德地图|推荐|推荐专车|224|
|48|高德地图|推荐|特惠快车|225|
|49|高德地图|豪华型|undefined|145-150|",,"[{""app"": ""腾飞"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",腾飞,无,优享型,无,无,,TRUE,0,100000,,,王笑,,,,,
用高德，准备去工人体育场用5U出行经济型，价格不超过85元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|52-53|
|1|高德地图|     |特惠快车|56-57|
|2|高德地图|经济型|腾飞新出租|61|
|3|高德地图|经济型|易至出行|61|
|4|高德地图|经济型|享道出行|61|
|5|高德地图|经济型|聚优出行|62|
|6|高德地图|经济型|鞍马聚的新出租|62|
|7|高德地图|经济型|日初出行|62|
|8|高德地图|经济型|渔阳出行|62|
|9|高德地图|经济型|斑马快跑|63|
|10|高德地图|经济型|神州专车|63|
|11|高德地图|经济型|奇华出行|63|
|12|高德地图|经济型|T3出行|63|
|13|高德地图|经济型|北京的士|64|
|14|高德地图|经济型|迪尔出行|64|
|15|高德地图|经济型|聚的新出租|64|
|16|高德地图|经济型|中军出行|65|
|17|高德地图|经济型|风韵出行|65|
|18|高德地图|经济型|腾飞出行|65|
|19|高德地图|经济型|5U出行|65|
|20|高德地图|经济型|及时用车|65|
|21|高德地图|经济型|飞嘀打车|65|
|22|高德地图|经济型|如祺出行|65|
|23|高德地图|经济型|聚优出租|65|
|24|高德地图|特快车|超值体验 更快上车|69|
|25|高德地图|出租车|鞍马聚的-高档出租车|77|
|26|高德地图|优享型|腾飞出行|83|
|27|高德地图|优享型|风韵出行|83|
|28|高德地图|优享型|环旅出行|83|
|29|高德地图|优享型|曹操出行|83|
|30|高德地图|优享型|火箭出行|83|
|31|高德地图|优享型|及时用车|83|
|32|高德地图|优享型|飞嘀打车|84|
|33|高德地图|优享型|神州专车|84|
|34|高德地图|优享型|优e出行特选|85|
|35|高德地图|优享型|添猫出行|85|
|36|高德地图|优享型|星徽出行|86|
|37|高德地图|优享型|阳光出行|87|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|92|
|39|高德地图|品质专车|静音不打扰 整洁无异味|101|
|40|高德地图|六座商务|宽敞空间 商务体验|112|
|41|高德地图|豪华型|车型高端 服务专业|126|
|42|高德地图|经济|首汽约车|135|
|43|高德地图|拼车|出租车拼车|149|
|44|高德地图|拼车|特惠快车|152|
|45|高德地图|特价出发|更多特价|164|
|46|高德地图|快速出发|无|184|
|47|高德地图|惠享专车|阳光出行|201|
|48|高德地图|推荐|推荐专车|220|
|49|高德地图|豪华型|undefined|142-146|",,"[{""app"": ""高德"", ""category"": ""经济型"", ""mode"": ""5U出行"", ""price"": True, ""price_min"": 0, ""price_max"": 85, ""fast"": False}]",高德,,经济型,无,5U出行,,TRUE,0,85,,,王笑,,,,,
帮我叫个环旅出行优享型去中国尊，价格在95到120之间。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|58-60|
|1|高德地图|     |特惠快车|62-65|
|2|高德地图|经济型|奇华出行|68|
|3|高德地图|经济型|J刻出行|68|
|4|高德地图|经济型|南京出租|68|
|5|高德地图|经济型|5U出行|69|
|6|高德地图|经济型|易至出行|69|
|7|高德地图|经济型|渔阳出行|69|
|8|高德地图|经济型|旗妙出行|70|
|9|高德地图|经济型|K9用车|70|
|10|高德地图|经济型|鞍马聚的新出租|70|
|11|高德地图|经济型|飞嘀打车|70|
|12|高德地图|经济型|AA出行|70|
|13|高德地图|经济型|日初出行|71|
|14|高德地图|经济型|中交出行|71|
|15|高德地图|经济型|深圳出租|71|
|16|高德地图|经济型|首汽约车|71|
|17|高德地图|经济型|环旅出行|72|
|18|高德地图|特快车|超值体验 更快上车|79|
|19|高德地图|出租车|鞍马聚的-高档出租车|84|
|20|高德地图|优享型|妥妥E行|91|
|21|高德地图|优享型|腾飞出行|92|
|22|高德地图|优享型|T3出行|92|
|23|高德地图|优享型|曹操出行|92|
|24|高德地图|优享型|火箭出行|93|
|25|高德地图|优享型|及时用车|93|
|26|高德地图|优享型|斑马快跑|94|
|27|高德地图|优享型|飞嘀打车|94|
|28|高德地图|优享型|神州专车|94|
|29|高德地图|优享型|中交出行|94|
|30|高德地图|优享型|优e出行特选|94|
|31|高德地图|优享型|添猫出行|95|
|32|高德地图|优享型|星徽出行|95|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|102|
|34|高德地图|品质专车|静音不打扰 整洁无异味|114|
|35|高德地图|六座商务|宽敞空间 商务体验|125|
|36|高德地图|豪华型|车型高端 服务专业|139|
|37|高德地图|经济|首汽约车|153|
|38|高德地图|拼车|特惠快车|166|
|39|高德地图|特价出发|更多特价|181|
|40|高德地图|快速出发|无|202|
|41|高德地图|惠享专车|曹操出行|221|
|42|高德地图|推荐|特惠快车|241|
|43|高德地图|豪华型|undefined|156-161|",,"[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""环旅出行"", ""price"": True, ""price_min"": 95, ""price_max"": 120, ""fast"": False}]",无,,优享型,无,环旅出行,无,TRUE,95,120,,,王笑,,,,,
用高德打车去宋家庄，用星徽出行优享型，价格不超过75元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|55-58|
|1|高德地图|     |特惠快车|61-61|
|2|高德地图|经济型|聚优出行|65|
|3|高德地图|经济型|聚的出租车|65|
|4|高德地图|经济型|日初出行|65|
|5|高德地图|经济型|渔阳出行|65|
|6|高德地图|经济型|添猫出行|66|
|7|高德地图|经济型|环旅出行|66|
|8|高德地图|经济型|J刻出行|66|
|9|高德地图|经济型|叮叮出行|66|
|10|高德地图|经济型|K9用车|67|
|11|高德地图|经济型|旗妙出行|67|
|12|高德地图|经济型|斑马快跑|67|
|13|高德地图|经济型|东潮出行|67|
|14|高德地图|经济型|AA出行|68|
|15|高德地图|经济型|首汽约车|68|
|16|高德地图|经济型|奇华出行|68|
|17|高德地图|经济型|T3出行|68|
|18|高德地图|经济型|方舟行|68|
|19|高德地图|经济型|聚的新出租|68|
|20|高德地图|经济型|中军出行|69|
|21|高德地图|经济型|腾飞出行|69|
|22|高德地图|经济型|5U出行|69|
|23|高德地图|经济型|如祺出行|69|
|24|高德地图|经济型|阳光出行|69|
|25|高德地图|特快车|超值体验 更快上车|75|
|26|高德地图|出租车|鞍马聚的-高档出租车|80|
|27|高德地图|优享型|妥妥E行|89|
|28|高德地图|优享型|旅程专车|89|
|29|高德地图|优享型|T3出行|90|
|30|高德地图|优享型|及时用车|91|
|31|高德地图|优享型|旗妙出行|91|
|32|高德地图|优享型|中交出行|92|
|33|高德地图|优享型|添猫出行|92|
|34|高德地图|优享型|阳光出行|92|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|99|
|36|高德地图|品质专车|静音不打扰 整洁无异味|109|
|37|高德地图|六座商务|宽敞空间 商务体验|119|
|38|高德地图|豪华型|车型高端 服务专业|132|
|39|高德地图|经济|首汽约车|146|
|40|高德地图|拼车|出租车拼车|159|
|41|高德地图|特价出发|更多特价|174|
|42|高德地图|快速出发|无|194|
|43|高德地图|惠享专车|神州专车|212|
|44|高德地图|推荐|极速拼车|235|
|45|高德地图|豪华型|undefined|147-150|",,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""星徽出行优享型"", ""price"": True, ""price_min"": 0, ""price_max"": 75, ""fast"": False}]",高德,,无,,星徽出行优享型,无,TRUE,0,75,,,王笑,,,,,
叫个飞嘀打车经济型去天坛公园，价格不限，用高德。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-54|
|1|高德地图|     |特惠快车|58-61|
|2|高德地图|经济型|旅程出租|63|
|3|高德地图|经济型|鞍马出行|63|
|4|高德地图|经济型|享道出行|63|
|5|高德地图|经济型|鞍马聚的新出租|64|
|6|高德地图|经济型|日初出行|64|
|7|高德地图|经济型|中交出行|64|
|8|高德地图|经济型|全民GO|64|
|9|高德地图|经济型|环旅出行|65|
|10|高德地图|经济型|叮叮出行|65|
|11|高德地图|经济型|旗妙出行|66|
|12|高德地图|经济型|K9用车|66|
|13|高德地图|经济型|首汽约车|66|
|14|高德地图|经济型|T3出行|66|
|15|高德地图|经济型|橄榄新出租|66|
|16|高德地图|经济型|北京的士|66|
|17|高德地图|经济型|迪尔出行|66|
|18|高德地图|经济型|有滴出行|67|
|19|高德地图|经济型|聚的新出租|67|
|20|高德地图|经济型|风韵出行|67|
|21|高德地图|经济型|飞嘀打车|67|
|22|高德地图|经济型|聚优出租|67|
|23|高德地图|特快车|超值体验 更快上车|72|
|24|高德地图|出租车|车多应答快|80|
|25|高德地图|出租车|鞍马聚的-高档出租车|80|
|26|高德地图|优享型|星徽出行|84|
|27|高德地图|优享型|旅程专车|85|
|28|高德地图|优享型|享道出行|85|
|29|高德地图|优享型|及时用车|86|
|30|高德地图|优享型|斑马快跑|86|
|31|高德地图|优享型|东潮出行|86|
|32|高德地图|优享型|AA出行|87|
|33|高德地图|优享型|中交出行|88|
|34|高德地图|优享型|环旅出行|88|
|35|高德地图|优享型|阳光出行|88|
|36|高德地图|轻享专车|静音不打扰 整洁无异味|95|
|37|高德地图|品质专车|静音不打扰 整洁无异味|104|
|38|高德地图|六座商务|宽敞空间 商务体验|117|
|39|高德地图|豪华型|车型高端 服务专业|129|
|40|高德地图|经济|首汽约车|141|
|41|高德地图|拼车|出租车拼车|153|
|42|高德地图|特价出发|更多特价|167|
|43|高德地图|特价出发|惊喜特价|169|
|44|高德地图|快速出发|无|188|
|45|高德地图|惠享专车|添猫出行|204|
|46|高德地图|推荐|特惠快车|223|
|47|高德地图|豪华型|undefined|146-147|",,"[{""app"": ""高德"", ""category"": ""经济型"", ""mode"": ""飞嘀打车"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,经济型,无,飞嘀打车,,TRUE,0,100000,,,王笑,,,,,
用滴滴打个车去西湖音乐喷泉，用推荐中的花小猪正价版，价格不超过50元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|32.83|
|1|滴滴|推荐|特惠快车|33.63|
|2|滴滴|推荐|滴滴快车|36.06|
|3|滴滴|推荐|特快出租车|37.53|
|4|滴滴|拼车|特价拼车|28.42-29.55|
|5|滴滴|拼车|极速拼车|35.03-37.00|
|6|滴滴|特价|花小猪外接版|40.86|
|7|滴滴|特价|惊喜特价|43.36|
|8|滴滴|快速|曹操出行|48.06|
|9|滴滴|快速|出租车|48.39|
|10|滴滴|快速|滴滴轻享|49.95|
|11|滴滴|快速|滴滴特快|51.77|
