query,可选车型组合,模型输出车型组合,正确车型组合,inference_latency
打车到南京博览中心，选特惠快车、曹操出行或拼车，50元内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}]",1.6631150245666504
叫个舒适出发的车去天坛，便宜点的。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'六座': '六座快车'}, {'推荐': '特惠快车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",1.15971040725708
叫个特价拼车去星海广场，要最便宜的。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'六座': '六座豪华车'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'六座': '六座快车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[],0.7319672107696533
打个特惠快车、特价拼车或曹操出行去白塔机场，价格不超过80元。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'快速': '曹操出行'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",2.2249646186828613
打车去郑州站，勾选所有车型。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '方舟行'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'豪华型': '车型高端 服务专业'}, {'优享型': '全民GO'}, {'': '极速拼车'}, {'惠享专车': '神州专车'}, {'经济型': '5U出行'}, {'品质专车': '静音不打扰 整洁无异味'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'快速出发': '无'}, {'轻享专车': '静音不打扰 整洁无异味'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '旅程出租'}, {'优享型': '腾飞出行'}, {'出租车': '车多应答快'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'优享型': '首汽约车'}, {'经济型': '渔阳出行'}, {'经济型': '阳光出行'}, {'特快车': '超值体验 更快上车'}, {'经济型': '易至出行'}, {'推荐': '极速拼车'}, {'经济': '首汽约车'}, {'优享型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'优享型': '及时用车'}, {'经济型': '奇华出行'}, {'拼车': '特惠快车'}, {'经济型': '星徽出行'}, {'特价出发': '惊喜特价'}, {'经济型': '北京的士'}]",[{'all': 'all'}],[{'all': 'all'}],0.5828087329864502
打的去金源东大道，要经济型。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[],"[{'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",0.14201760292053223
打车去梅林关，只打特快车不要拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'快速': '滴滴特快'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'推荐': '滴滴快车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]","[{'快速': '滴滴特快'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'推荐': '滴滴快车'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",4.327299118041992
从夫子庙到禄口机场，约个极速拼车，费用控制在30元以内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],0.7214925289154053
打车到南中环街，拼车好评。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}]","[{'拼车': '极速拼车'}, {'拼车': '特价拼车'}]",1.2477641105651855
打车到山南，拼车特价。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7132658958435059
西安钟楼到咸阳国际机场，需要一辆商务车，七座的那种。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[],[],0.12219834327697754
高德预约六座专车到南京朱三家龙虾总店，选经济路线费用控制在百元内。,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': '及时用车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '环旅出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'特快车': 'undefined'}, {'优享型': '妥妥E行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'经济型': '星徽出行'}, {'优享型': 'AA出行'}, {'经济型': '有序出行'}]",[],[],0.14997482299804688
打车去外滩，所有车型都选上。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'推荐': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'六座': '六座快车'}, {'推荐': '特惠快车'}]",[{'all': 'all'}],[{'all': 'all'}],0.5587947368621826
打车去钟楼，选豪华车。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'经济型': '曹操出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[{'豪华型': 'undefined'}],[{'豪华型': 'undefined'}],0.628718376159668
龙嘉机场商务车，预算100内。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'推荐': '特快出租车'}]",[],[],0.12434935569763184
打车去羊山公园，勾选六座商务或腾飞出行。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'轻享专车': 'undefined'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': 'AA出行'}, {'经济型': '及时用车'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'优享型': '阳光出行'}, {'优享型': '环旅出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '神州专车'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'经济型': '星徽出行'}, {'品质专车': 'undefined'}]","[{'优享型': '腾飞出行'}, {'六座商务': 'undefined'}]","[{'优享型': '腾飞出行'}, {'六座商务': 'undefined'}]",1.2520122528076172
用滴滴专车从青岛五四广场到流亭机场，选最快路线。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]","[{'六座': '六座专车'}, {'舒适': '滴滴专车'}]",1.251103401184082
打车去吕梁，商务车最便宜。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[],[],0.12381577491760254
我要到逍遥津，什么车都可以，只要价格不超25元。,"[{'经济型': '中交出行'}, {'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': '妥妥E行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'优享型': 'T3出行'}, {'优享型': '环旅出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '星徽出行'}, {'经济型': '中军出行'}, {'优享型': '神州专车'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}, {'经济型': '有序出行'}]",[],[],0.1585071086883545
打车去天龙寺，特惠快车、叮叮或拼车，不超60。,"[{'优享型': 'AA出行'}, {'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '全民GO'}, {'优享型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'特快车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '中交出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'六座商务': 'undefined'}, {'优享型': '火箭出行'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}]","[{'': '极速拼车'}, {'': '特惠快车'}]","[{'': '极速拼车'}, {'': '特惠快车'}]",1.1185061931610107
从夫子庙到禄口机场选特价拼车，要新能源车更省钱。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],0.7209951877593994
两人去新街口，选特价里的惊喜特价。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],0.6028242111206055
叫一辆六座专车去机场，行李较多需要大空间。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],0.7806680202484131
从陆家嘴到虹桥火车站，叫个六座专车，需要放行李。,"[{'六座': '六座专车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],0.7732605934143066
去西湖，不接受快车。,"[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'特快车': 'undefined'}, {'经济型': '阳光出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}]","[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': '阳光出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}]","[{'经济型': '中交出行'}, {'经济型': '900出行'}, {'出租车': 'undefined'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '东潮出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'经济型': '全民GO'}, {'经济型': '聚的新出租'}, {'经济型': '阳光出行'}, {'经济型': '中军出行'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'经济型': '深圳出租'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'品质专车': 'undefined'}]",17.795820713043213
打车去南京大学仙林校区，勾选特惠快车或特价拼车。,"[{'出租车': 'undefined'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'优享型': '享道出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': 'T3出行'}, {'优享型': '全民GO'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '飞嘀打车'}, {'优享型': '风韵出行'}, {'优享型': '腾飞出行'}, {'': '特惠快车'}, {'经济型': '全民GO'}, {'特快车': 'undefined'}, {'经济型': 'T3出行'}, {'经济型': '阳光出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '东潮出行'}, {'经济型': '腾飞出行'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'经济型': '星徽出行'}, {'经济型': '北京的士'}]",[{'': '特惠快车'}],[{'': '特惠快车'}],0.72538161277771
打车去大梅沙，不要超79元。,"[{'出租车': 'undefined'}, {'经济型': '900出行'}, {'优享型': '曹操出行'}, {'轻享专车': 'undefined'}, {'经济型': '北京新出租'}, {'经济型': '如祺出行'}, {'优享型': '飞嘀打车'}, {'经济型': '神州专车'}, {'优享型': '斑马快跑'}, {'经济型': '及时用车'}, {'经济型': 'AA出行'}, {'经济型': '365约车'}, {'': '极速拼车'}, {'优享型': '阳光出行'}, {'优享型': '环旅出行'}, {'经济型': '曹操出行'}, {'优享型': '旗妙出行'}, {'品质专车': 'undefined'}, {'豪华型': 'undefined'}, {'经济型': '斑马快跑'}, {'经济型': '飞嘀打车'}, {'经济型': '享道出行'}, {'': '特惠快车'}, {'特快车': 'undefined'}, {'经济型': '聚的新出租'}, {'经济型': 'T3出行'}, {'优享型': '首汽约车'}, {'优享型': '星徽出行'}, {'优享型': '妥妥E行'}, {'优享型': '神州专车'}, {'经济型': '首汽约车'}, {'优享型': '及时用车'}, {'六座商务': 'undefined'}, {'优享型': 'AA出行'}, {'经济型': '妥妥E行'}]",[],[],0.16518616676330566
打个舒适型的车去西湖，便宜点的车型。,"[{'快速': '滴滴特快'}, {'快速': '滴滴优享'}, {'特价': '花小猪外接版'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}, {'六座': '六座豪华车'}, {'快速': '长沙新出租'}, {'快速': '出租车'}, {'快速': '滴滴轻享'}, {'拼车': '滴滴小巴'}, {'拼车': '极速拼车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴快车'}, {'快速': '方舟行'}, {'舒适': '滴滴专车'}, {'六座': '六座专车'}, {'快速': '武汉新出租'}, {'拼车': '特价拼车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",1.1594810485839844
预约滴滴豪华车从广州塔到白云机场，优先派车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}]","[{'六座': '六座豪华车'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",1.2710847854614258
打车去南京林业大学，勾选特快出租车、曹操出行或极速拼车。,"[{'六座': '六座专车'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'推荐': '特惠快车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '滴滴快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴豪华车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特快出租车'}]","[{'拼车': '极速拼车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '特快出租车'}]","[{'拼车': '极速拼车'}, {'快速': '曹操出行'}, {'快速': '出租车'}, {'推荐': '特快出租车'}]",1.995835542678833
